""	"prob_compLasso"	"prob_lasso"	"prob_elnet"	"prob_rf"
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium"	0.09	0.08	0.64	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Lactonifactor"	0	0	0.2	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter"	0.49	0.2	0.8	0.13
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus"	0.26	0.15	0.8	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Sporobacter"	0.05	0	0.32	0.06
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum"	0.12	0.07	0.75	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Acidaminococcus"	0.81	0.55	0.94	0.35
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Allisonella"	0.67	0.45	0.85	0.25
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister"	0.34	0.16	0.66	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megamonas"	0.36	0.18	0.92	0.09
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megasphaera"	0.36	0.18	0.81	0.15
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Mitsuokella"	0.22	0.12	0.62	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Phascolarctobacterium"	0.24	0.1	0.69	0.06
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Succiniclasticum"	0.2	0.1	0.79	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella"	0.32	0.15	0.76	0.24
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Zymophilus"	0.38	0.19	0.72	0.13
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium"	0.35	0.2	0.79	0.16
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus"	0.2	0.04	0.57	0.15
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Holdemania"	0.24	0.09	0.7	0.07
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Solobacterium"	0.07	0.04	0.54	0.09
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Turicibacter"	0.22	0.07	0.78	0.03
"Bacteria.Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium"	0.08	0.03	0.47	0.05
"Bacteria.Fusobacteria.Fusobacteria.Fusobacteriales.Leptotrichiaceae.Leptotrichia"	0	0	0.1	0.12
"Bacteria.Lentisphaerae.Lentisphaeria.Victivallales.Victivallaceae.Victivallis"	0.03	0.02	0.27	0.08
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylobacteriaceae.Methylobacterium"	0	0	0.08	0.1
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Parasutterella"	0.25	0.1	0.77	0.09
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella"	0.25	0.09	0.75	0.06
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter"	0.11	0.1	0.56	0.06
"Bacteria.Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria"	0.04	0.04	0.45	0.09
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio"	0.04	0.03	0.33	0.11
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter"	0.04	0	0.35	0.06
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio"	0.05	0.03	0.36	0.14
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas"	0.2	0.04	0.51	0.11
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas"	0	0	0.29	0.1
"Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae.Cloacibacillus"	0.02	0	0.32	0.07
"Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae.Pyramidobacter"	0.01	0	0.29	0.08
"Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Akkermansia"	0.1	0.05	0.43	0.04
