"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	500	"0.7"	10	0.27	"1.81 ( 0.09 )"	"5.27 ( 0.39 )"	"3.43 ( 0.09 )"	7.84	"0.56"	1.81	5.27	3.43
100	500	"0.7"	5	0.27	"0.85 ( 0.05 )"	"9.56 ( 0.73 )"	"1.42 ( 0.12 )"	14.14	"0.59"	0.85	9.56	1.42
500	500	"0.7"	1	0.74	"0.46 ( 0.01 )"	"2.11 ( 0.26 )"	"0 ( 0 )"	8.11	"0.2"	0.46	2.11	0
1000	500	"0.7"	0.5	0.87	"0.46 ( 0.01 )"	"0.93 ( 0.16 )"	"0 ( 0 )"	6.93	"0.1"	0.46	0.93	0
50	1000	"0.7"	20	0.21	"1.81 ( 0.08 )"	"6.05 ( 0.39 )"	"3.58 ( 0.1 )"	8.47	"0.64"	1.81	6.05	3.58
100	1000	"0.7"	10	0.27	"1.1 ( 0.06 )"	"8.36 ( 0.68 )"	"2.1 ( 0.09 )"	12.26	"0.58"	1.1	8.36	2.1
500	1000	"0.7"	2	0.69	"0.47 ( 0.01 )"	"2.72 ( 0.33 )"	"0 ( 0 )"	8.72	"0.24"	0.47	2.72	0
1000	1000	"0.7"	1	0.91	"0.5 ( 0.01 )"	"0.57 ( 0.16 )"	"0 ( 0 )"	6.57	"0.06"	0.5	0.57	0
50	50	"0.9"	1	0.32	"0.54 ( 0.03 )"	"4.91 ( 0.32 )"	"1.96 ( 0.11 )"	8.95	"0.49"	0.54	4.91	1.96
100	50	"0.9"	0.5	0.35	"0.41 ( 0.02 )"	"5.64 ( 0.41 )"	"0.96 ( 0.11 )"	10.68	"0.46"	0.41	5.64	0.96
500	50	"0.9"	0.1	0.67	"0.31 ( 0.01 )"	"2.66 ( 0.22 )"	"0.01 ( 0.01 )"	8.65	"0.27"	0.31	2.66	0.01
1000	50	"0.9"	0.05	0.71	"0.3 ( 0 )"	"2.18 ( 0.19 )"	"0 ( 0 )"	8.18	"0.23"	0.3	2.18	0
50	100	"0.9"	2	0.31	"0.66 ( 0.04 )"	"4.9 ( 0.33 )"	"2.83 ( 0.09 )"	8.07	"0.54"	0.66	4.9	2.83
