"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
500	100	"0.5"	0.2	0.59	"0.27 ( 0 )"	"4.7 ( 0.3 )"	"0 ( 0 )"	9.7	"0.33"	0.27	4.7	0
1000	100	"0.5"	0.1	0.78	"0.27 ( 0 )"	"2.58 ( 0.16 )"	"0 ( 0 )"	7.58	"0.18"	0.27	2.58	0
50	500	"0.5"	10	0.12	"1.64 ( 0.1 )"	"21.8 ( 0.36 )"	"1.82 ( 0.11 )"	24.98	"0.83"	1.64	21.8	1.82
100	500	"0.5"	5	0.24	"0.55 ( 0.02 )"	"18.37 ( 0.77 )"	"0.04 ( 0.02 )"	23.33	"0.72"	0.55	18.3	0.04
500	500	"0.5"	1	0.46	"0.3 ( 0 )"	"7.82 ( 0.64 )"	"0 ( 0 )"	12.82	"0.44"	0.3	7.82	0
1000	500	"0.5"	0.5	0.65	"0.28 ( 0 )"	"4.16 ( 0.33 )"	"0 ( 0 )"	9.16	"0.28"	0.28	4.16	0
50	1000	"0.5"	20	0.09	"1.84 ( 0.1 )"	"24.67 ( 0.36 )"	"2.56 ( 0.11 )"	27.11	"0.87"	1.84	24.6	2.56
100	1000	"0.5"	10	0.21	"0.64 ( 0.03 )"	"22.01 ( 0.65 )"	"0.12 ( 0.03 )"	26.89	"0.77"	0.64	22	0.12
500	1000	"0.5"	2	0.45	"0.29 ( 0 )"	"8.22 ( 0.73 )"	"0 ( 0 )"	13.22	"0.44"	0.29	8.22	0
1000	1000	"0.5"	1	0.53	"0.27 ( 0 )"	"6.36 ( 0.51 )"	"0 ( 0 )"	11.36	"0.39"	0.27	6.36	0
50	50	"0.7"	1	0.36	"0.57 ( 0.04 )"	"8.63 ( 0.41 )"	"0.06 ( 0.02 )"	13.57	"0.52"	0.57	8.63	0.06
100	50	"0.7"	0.5	0.45	"0.37 ( 0.01 )"	"6.73 ( 0.39 )"	"0 ( 0 )"	11.73	"0.44"	0.37	6.73	0
500	50	"0.7"	0.1	0.71	"0.28 ( 0 )"	"3.01 ( 0.2 )"	"0 ( 0 )"	8.01	"0.22"	0.28	3.01	0
1000	50	"0.7"	0.05	0.85	"0.27 ( 0 )"	"1.89 ( 0.12 )"	"0 ( 0 )"	6.89	"0.11"	0.27	1.89	0
50	100	"0.7"	2	0.3	"0.82 ( 0.05 )"	"11.87 ( 0.44 )"	"0.17 ( 0.05 )"	16.7	"0.63"	0.82	11.8	0.17
100	100	"0.7"	1	0.37	"0.41 ( 0.02 )"	"9.7 ( 0.63 )"	"0 ( 0 )"	14.7	"0.53"	0.41	9.7	0
500	100	"0.7"	0.2	0.66	"0.28 ( 0 )"	"3.85 ( 0.3 )"	"0 ( 0 )"	8.85	"0.26"	0.28	3.85	0
1000	100	"0.7"	0.1	0.76	"0.27 ( 0 )"	"2.71 ( 0.23 )"	"0 ( 0 )"	7.71	"0.17"	0.27	2.71	0
50	500	"0.7"	10	0.15	"2.03 ( 0.14 )"	"21.53 ( 0.36 )"	"1.18 ( 0.11 )"	25.35	"0.81"	2.03	21.5	1.18
100	500	"0.7"	5	0.28	"0.54 ( 0.02 )"	"16.11 ( 0.63 )"	"0 ( 0 )"	21.11	"0.69"	0.54	16.1	0
500	500	"0.7"	1	0.51	"0.29 ( 0 )"	"6.69 ( 0.45 )"	"0 ( 0 )"	11.69	"0.42"	0.29	6.69	0
1000	500	"0.7"	0.5	0.62	"0.28 ( 0 )"	"4.65 ( 0.37 )"	"0 ( 0 )"	9.65	"0.3"	0.28	4.65	0
50	1000	"0.7"	20	0.1	"2.51 ( 0.13 )"	"25.24 ( 0.32 )"	"2.11 ( 0.12 )"	28.13	"0.86"	2.51	25.2	2.11
100	1000	"0.7"	10	0.22	"0.59 ( 0.02 )"	"21.52 ( 0.68 )"	"0.01 ( 0.01 )"	26.51	"0.76"	0.59	21.5	0.01
500	1000	"0.7"	2	0.47	"0.3 ( 0 )"	"7.81 ( 0.61 )"	"0 ( 0 )"	12.81	"0.45"	0.3	7.81	0
1000	1000	"0.7"	1	0.65	"0.28 ( 0 )"	"4.14 ( 0.35 )"	"0 ( 0 )"	9.14	"0.27"	0.28	4.14	0
50	50	"0.9"	1	0.32	"0.61 ( 0.05 )"	"9.61 ( 0.49 )"	"0.07 ( 0.03 )"	14.54	"0.55"	0.61	9.61	0.07
100	50	"0.9"	0.5	0.44	"0.37 ( 0.01 )"	"6.82 ( 0.39 )"	"0 ( 0 )"	11.82	"0.44"	0.37	6.82	0
500	50	"0.9"	0.1	0.75	"0.27 ( 0 )"	"2.68 ( 0.17 )"	"0 ( 0 )"	7.68	"0.19"	0.27	2.68	0
1000	50	"0.9"	0.05	0.87	"0.27 ( 0 )"	"1.76 ( 0.11 )"	"0 ( 0 )"	6.76	"0.09"	0.27	1.76	0
50	100	"0.9"	2	0.29	"0.87 ( 0.05 )"	"12.12 ( 0.37 )"	"0.17 ( 0.05 )"	16.95	"0.64"	0.87	12.1	0.17
100	100	"0.9"	1	0.4	"0.38 ( 0.01 )"	"8.72 ( 0.53 )"	"0 ( 0 )"	13.72	"0.51"	0.38	8.72	0
500	100	"0.9"	0.2	0.67	"0.27 ( 0 )"	"3.68 ( 0.28 )"	"0 ( 0 )"	8.68	"0.25"	0.27	3.68	0
1000	100	"0.9"	0.1	0.76	"0.27 ( 0 )"	"2.72 ( 0.23 )"	"0 ( 0 )"	7.72	"0.17"	0.27	2.72	0
50	500	"0.9"	10	0.14	"2.29 ( 0.15 )"	"23.7 ( 0.43 )"	"1.18 ( 0.11 )"	27.52	"0.82"	2.29	23.7	1.18
100	500	"0.9"	5	0.28	"0.51 ( 0.02 )"	"16.13 ( 0.62 )"	"0 ( 0 )"	21.13	"0.69"	0.51	16.1	0
500	500	"0.9"	1	0.5	"0.29 ( 0 )"	"6.87 ( 0.54 )"	"0 ( 0 )"	11.87	"0.41"	0.29	6.87	0
1000	500	"0.9"	0.5	0.71	"0.27 ( 0 )"	"3.37 ( 0.27 )"	"0 ( 0 )"	8.37	"0.23"	0.27	3.37	0
50	1000	"0.9"	20	0.11	"2.46 ( 0.16 )"	"25.37 ( 0.35 )"	"1.73 ( 0.12 )"	28.64	"0.85"	2.46	25.3	1.73
100	1000	"0.9"	10	0.22	"0.62 ( 0.03 )"	"21.43 ( 0.62 )"	"0 ( 0 )"	26.43	"0.76"	0.62	21.4	0
500	1000	"0.9"	2	0.46	"0.3 ( 0 )"	"7.99 ( 0.79 )"	"0 ( 0 )"	12.99	"0.42"	0.3	7.99	0
1000	1000	"0.9"	1	0.6	"0.28 ( 0 )"	"4.93 ( 0.43 )"	"0 ( 0 )"	9.93	"0.31"	0.28	4.93	0
