"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
100	500	"0.3"	5	0.2	"0.78 ( 0.01 )"	"10.16 ( 0.68 )"	"2.49 ( 0.11 )"	12.67	"0.63"	0.78	10.16	2.49
500	500	"0.3"	1	0.2	"0.91 ( 0 )"	"23.65 ( 0.7 )"	"0 ( 0 )"	28.65	"0.78"	0.91	23.65	0
1000	500	"0.3"	0.5	0.34	"0.92 ( 0 )"	"12.28 ( 0.34 )"	"0 ( 0 )"	17.28	"0.64"	0.92	12.28	0
50	1000	"0.3"	20	0.1	"0.68 ( 0.01 )"	"9.77 ( 0.31 )"	"4.3 ( 0.06 )"	10.47	"0.83"	0.68	9.77	4.3
100	1000	"0.3"	10	0.17	"0.77 ( 0.01 )"	"10.68 ( 0.8 )"	"3.02 ( 0.11 )"	12.66	"0.67"	0.77	10.68	3.02
500	1000	"0.3"	2	0.17	"0.9 ( 0 )"	"30.07 ( 1.09 )"	"0 ( 0 )"	35.07	"0.81"	0.9	30.07	0
1000	1000	"0.3"	1	0.24	"0.92 ( 0 )"	"19.7 ( 0.7 )"	"0 ( 0 )"	24.7	"0.73"	0.92	19.7	0
50	50	"0.5"	1	0.25	"0.76 ( 0.01 )"	"3.86 ( 0.22 )"	"3.4 ( 0.12 )"	5.46	"0.47"	0.76	3.86	3.4
100	50	"0.5"	0.5	0.31	"0.84 ( 0.01 )"	"6.67 ( 0.32 )"	"1.32 ( 0.1 )"	10.35	"0.51"	0.84	6.67	1.32
500	50	"0.5"	0.1	0.55	"0.91 ( 0 )"	"4.95 ( 0.22 )"	"0 ( 0 )"	9.95	"0.37"	0.91	4.95	0
1000	50	"0.5"	0.05	0.77	"0.91 ( 0 )"	"2.5 ( 0.14 )"	"0 ( 0 )"	7.5	"0.17"	0.91	2.5	0
50	100	"0.5"	2	0.25	"0.72 ( 0.01 )"	"4.08 ( 0.28 )"	"3.81 ( 0.08 )"	5.27	"0.49"	0.72	4.08	3.81
100	100	"0.5"	1	0.26	"0.8 ( 0.01 )"	"7.61 ( 0.43 )"	"2.03 ( 0.12 )"	10.58	"0.55"	0.8	7.61	2.03
500	100	"0.5"	0.2	0.43	"0.91 ( 0 )"	"8.05 ( 0.31 )"	"0 ( 0 )"	13.05	"0.51"	0.91	8.05	0
1000	100	"0.5"	0.1	0.65	"0.91 ( 0 )"	"3.9 ( 0.16 )"	"0 ( 0 )"	8.9	"0.3"	0.91	3.9	0
50	500	"0.5"	10	0.14	"0.7 ( 0.01 )"	"7.23 ( 0.28 )"	"4.26 ( 0.07 )"	7.97	"0.76"	0.7	7.23	4.26
100	500	"0.5"	5	0.18	"0.77 ( 0.01 )"	"8.77 ( 0.71 )"	"3.31 ( 0.1 )"	10.46	"0.61"	0.77	8.77	3.31
500	500	"0.5"	1	0.2	"0.9 ( 0 )"	"23.13 ( 0.75 )"	"0.01 ( 0.01 )"	28.12	"0.77"	0.9	23.13	0.01
1000	500	"0.5"	0.5	0.32	"0.91 ( 0 )"	"13.23 ( 0.36 )"	"0.01 ( 0.01 )"	18.22	"0.66"	0.91	13.23	0.01
50	1000	"0.5"	20	0.11	"0.68 ( 0.01 )"	"9.13 ( 0.25 )"	"4.4 ( 0.06 )"	9.73	"0.83"	0.68	9.13	4.4
100	1000	"0.5"	10	0.19	"0.77 ( 0.01 )"	"8.39 ( 0.65 )"	"3.48 ( 0.08 )"	9.91	"0.64"	0.77	8.39	3.48
500	1000	"0.5"	2	0.16	"0.89 ( 0 )"	"30.97 ( 0.97 )"	"0 ( 0 )"	35.97	"0.82"	0.89	30.97	0
1000	1000	"0.5"	1	0.23	"0.91 ( 0 )"	"21.03 ( 0.66 )"	"0 ( 0 )"	26.03	"0.75"	0.91	21.03	0
50	50	"0.7"	1	0.28	"0.77 ( 0.01 )"	"3.76 ( 0.26 )"	"3.51 ( 0.11 )"	5.25	"0.42"	0.77	3.76	3.51
100	50	"0.7"	0.5	0.33	"0.81 ( 0.01 )"	"5.27 ( 0.32 )"	"2.04 ( 0.12 )"	8.23	"0.44"	0.81	5.27	2.04
500	50	"0.7"	0.1	0.57	"0.89 ( 0 )"	"4.61 ( 0.17 )"	"0.04 ( 0.02 )"	9.57	"0.36"	0.89	4.61	0.04
1000	50	"0.7"	0.05	0.74	"0.89 ( 0 )"	"2.8 ( 0.15 )"	"0 ( 0 )"	7.8	"0.21"	0.89	2.8	0
50	100	"0.7"	2	0.24	"0.71 ( 0.01 )"	"4.31 ( 0.28 )"	"4.05 ( 0.09 )"	5.26	"0.55"	0.71	4.31	4.05
100	100	"0.7"	1	0.27	"0.79 ( 0.01 )"	"6.34 ( 0.4 )"	"2.67 ( 0.12 )"	8.67	"0.53"	0.79	6.34	2.67
500	100	"0.7"	0.2	0.43	"0.89 ( 0 )"	"7.92 ( 0.24 )"	"0.04 ( 0.02 )"	12.88	"0.52"	0.89	7.92	0.04
1000	100	"0.7"	0.1	0.66	"0.9 ( 0 )"	"3.85 ( 0.16 )"	"0 ( 0 )"	8.85	"0.3"	0.9	3.85	0
50	500	"0.7"	10	0.14	"0.7 ( 0.01 )"	"6.5 ( 0.24 )"	"4.63 ( 0.06 )"	6.87	"0.77"	0.7	6.5	4.63
100	500	"0.7"	5	0.21	"0.76 ( 0.01 )"	"6.98 ( 0.58 )"	"3.65 ( 0.08 )"	8.33	"0.56"	0.76	6.98	3.65
500	500	"0.7"	1	0.2	"0.88 ( 0 )"	"22.04 ( 0.74 )"	"0.14 ( 0.04 )"	26.9	"0.76"	0.88	22.04	0.14
1000	500	"0.7"	0.5	0.33	"0.89 ( 0 )"	"13.15 ( 0.38 )"	"0 ( 0 )"	18.15	"0.65"	0.89	13.15	0
50	1000	"0.7"	20	0.1	"0.66 ( 0.01 )"	"8.82 ( 0.28 )"	"4.72 ( 0.05 )"	9.1	"0.85"	0.66	8.82	4.72
100	1000	"0.7"	10	0.18	"0.76 ( 0.01 )"	"6.93 ( 0.59 )"	"4 ( 0.08 )"	7.93	"0.62"	0.76	6.93	4
500	1000	"0.7"	2	0.16	"0.87 ( 0 )"	"29.07 ( 1 )"	"0.16 ( 0.04 )"	33.91	"0.81"	0.87	29.07	0.16
1000	1000	"0.7"	1	0.22	"0.89 ( 0 )"	"21.8 ( 0.63 )"	"0 ( 0 )"	26.8	"0.76"	0.89	21.8	0
50	50	"0.9"	1	0.3	"0.69 ( 0.01 )"	"2.9 ( 0.2 )"	"4.22 ( 0.09 )"	3.68	"0.41"	0.69	2.9	4.22
100	50	"0.9"	0.5	0.37	"0.76 ( 0.01 )"	"3.93 ( 0.21 )"	"2.74 ( 0.11 )"	6.19	"0.41"	0.76	3.93	2.74
500	50	"0.9"	0.1	0.57	"0.83 ( 0 )"	"3.65 ( 0.16 )"	"0.56 ( 0.08 )"	8.09	"0.31"	0.83	3.65	0.56
1000	50	"0.9"	0.05	0.76	"0.83 ( 0 )"	"2.41 ( 0.12 )"	"0.23 ( 0.04 )"	7.18	"0.18"	0.83	2.41	0.23
50	100	"0.9"	2	0.26	"0.7 ( 0.01 )"	"3.29 ( 0.23 )"	"4.29 ( 0.09 )"	4	"0.45"	0.7	3.29	4.29
100	100	"0.9"	1	0.32	"0.76 ( 0.01 )"	"4.77 ( 0.33 )"	"3.26 ( 0.09 )"	6.51	"0.46"	0.76	4.77	3.26
500	100	"0.9"	0.2	0.45	"0.82 ( 0 )"	"5.65 ( 0.21 )"	"0.92 ( 0.09 )"	9.73	"0.45"	0.82	5.65	0.92
1000	100	"0.9"	0.1	0.63	"0.83 ( 0 )"	"3.87 ( 0.18 )"	"0.24 ( 0.05 )"	8.63	"0.3"	0.83	3.87	0.24
50	500	"0.9"	10	0.15	"0.66 ( 0.01 )"	"5.8 ( 0.24 )"	"4.65 ( 0.07 )"	6.15	"0.75"	0.66	5.8	4.65
100	500	"0.9"	5	0.21	"0.7 ( 0.01 )"	"5.55 ( 0.55 )"	"4.14 ( 0.09 )"	6.41	"0.51"	0.7	5.55	4.14
500	500	"0.9"	1	0.19	"0.81 ( 0 )"	"15.93 ( 0.73 )"	"1.42 ( 0.1 )"	19.51	"0.73"	0.81	15.93	1.42
1000	500	"0.9"	0.5	0.31	"0.83 ( 0 )"	"11.96 ( 0.46 )"	"0.42 ( 0.06 )"	16.54	"0.63"	0.83	11.96	0.42
50	1000	"0.9"	20	0.08	"0.66 ( 0.01 )"	"8.02 ( 0.28 )"	"4.9 ( 0.07 )"	8.12	"0.85"	0.66	8.02	4.9
100	1000	"0.9"	10	0.18	"0.69 ( 0.01 )"	"5.85 ( 0.58 )"	"4.37 ( 0.07 )"	6.48	"0.61"	0.69	5.85	4.37
500	1000	"0.9"	2	0.16	"0.8 ( 0 )"	"18.7 ( 0.93 )"	"1.88 ( 0.1 )"	21.82	"0.77"	0.8	18.7	1.88
1000	1000	"0.9"	1	0.21	"0.83 ( 0 )"	"20.07 ( 0.72 )"	"0.41 ( 0.05 )"	24.66	"0.75"	0.83	20.07	0.41
