"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
500	50	0.1	0.1	0.5	"1 ( 0 )"	"1.4 ( 0.12 )"	"2.4 ( 0.08 )"	5	0.25	1	1.4	2.4	"rf"
1000	50	0.1	0.05	0.69	"1 ( 0 )"	"0.98 ( 0.09 )"	"1.2 ( 0.08 )"	5.78	0.15	1	0.98	1.2	"rf"
50	100	0.1	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.1	1	0.06	"1 ( 0 )"	"3.95 ( 0.21 )"	"4.66 ( 0.08 )"	5.29	0.72	1	3.95	4.66	"rf"
500	100	0.1	0.2	0.35	"1 ( 0 )"	"3.91 ( 0.21 )"	"2.17 ( 0.08 )"	7.74	0.48	1	3.91	2.17	"rf"
1000	100	0.1	0.1	0.51	"1 ( 0 )"	"2.97 ( 0.15 )"	"1.29 ( 0.07 )"	7.68	0.36	1	2.97	1.29	"rf"
50	500	0.1	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.1	5	0.01	"1 ( 0 )"	"24.57 ( 0.55 )"	"4.72 ( 0.08 )"	25.85	0.95	1	24.57	4.72	"rf"
500	500	0.1	1	0.09	"1 ( 0 )"	"23.57 ( 0.51 )"	"2.43 ( 0.1 )"	27.14	0.86	1	23.57	2.43	"rf"
1000	500	0.1	0.5	0.14	"1 ( 0 )"	"22.61 ( 0.5 )"	"1.31 ( 0.08 )"	27.3	0.82	1	22.61	1.31	"rf"
50	1000	0.1	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.1	10	0.01	"1 ( 0 )"	"48.35 ( 0.66 )"	"4.88 ( 0.08 )"	49.47	0.98	1	48.35	4.88	"rf"
500	1000	0.1	2	0.04	"1 ( 0 )"	"48.59 ( 0.73 )"	"2.71 ( 0.1 )"	51.88	0.94	1	48.59	2.71	"rf"
1000	1000	0.1	1	0.06	"1 ( 0 )"	"46.74 ( 0.64 )"	"1.75 ( 0.09 )"	50.99	0.92	1	46.74	1.75	"rf"
50	50	0.3	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.3	0.5	0.1	"1 ( 0 )"	"1.68 ( 0.12 )"	"4.86 ( 0.08 )"	2.81	0.54	1	1.68	4.86	"rf"
500	50	0.3	0.1	0.44	"1 ( 0 )"	"1.57 ( 0.12 )"	"2.74 ( 0.08 )"	4.83	0.3	1	1.57	2.74	"rf"
1000	50	0.3	0.05	0.62	"1 ( 0 )"	"1.33 ( 0.1 )"	"1.44 ( 0.08 )"	5.89	0.21	1	1.33	1.44	"rf"
50	100	0.3	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.3	1	0.05	"1 ( 0 )"	"4.45 ( 0.2 )"	"4.85 ( 0.08 )"	5.6	0.78	1	4.45	4.85	"rf"
500	100	0.3	0.2	0.33	"1 ( 0 )"	"3.36 ( 0.19 )"	"2.57 ( 0.09 )"	6.79	0.46	1	3.36	2.57	"rf"
1000	100	0.3	0.1	0.47	"1 ( 0 )"	"3.43 ( 0.17 )"	"1.61 ( 0.09 )"	7.82	0.41	1	3.43	1.61	"rf"
50	500	0.3	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.3	5	0.01	"1 ( 0 )"	"23.69 ( 0.53 )"	"4.87 ( 0.08 )"	24.82	0.95	1	23.69	4.87	"rf"
500	500	0.3	1	0.07	"1 ( 0 )"	"22.84 ( 0.44 )"	"3.11 ( 0.09 )"	25.73	0.89	1	22.84	3.11	"rf"
1000	500	0.3	0.5	0.13	"1 ( 0 )"	"22.24 ( 0.43 )"	"1.77 ( 0.09 )"	26.47	0.84	1	22.24	1.77	"rf"
50	1000	0.3	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.3	10	0.01	"1 ( 0 )"	"48.06 ( 0.76 )"	"5.02 ( 0.08 )"	49.04	0.98	1	48.06	5.02	"rf"
500	1000	0.3	2	0.04	"1 ( 0 )"	"47.71 ( 0.73 )"	"2.98 ( 0.09 )"	50.73	0.94	1	47.71	2.98	"rf"
1000	1000	0.3	1	0.06	"1 ( 0 )"	"47.11 ( 0.84 )"	"2.03 ( 0.09 )"	51.08	0.92	1	47.11	2.03	"rf"
50	50	0.5	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.5	0.5	0.15	"1 ( 0 )"	"1.88 ( 0.15 )"	"4.77 ( 0.08 )"	3.1	0.54	1	1.88	4.77	"rf"
500	50	0.5	0.1	0.44	"1 ( 0 )"	"1.83 ( 0.11 )"	"2.9 ( 0.09 )"	4.93	0.35	1	1.83	2.9	"rf"
1000	50	0.5	0.05	0.61	"1 ( 0 )"	"1.9 ( 0.11 )"	"2.06 ( 0.08 )"	5.84	0.31	1	1.9	2.06	"rf"
50	100	0.5	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.5	1	0.08	"1 ( 0 )"	"4.6 ( 0.23 )"	"4.71 ( 0.07 )"	5.89	0.75	1	4.6	4.71	"rf"
500	100	0.5	0.2	0.31	"1 ( 0 )"	"4.2 ( 0.22 )"	"3.01 ( 0.08 )"	7.19	0.55	1	4.2	3.01	"rf"
1000	100	0.5	0.1	0.5	"1 ( 0 )"	"3.78 ( 0.18 )"	"1.84 ( 0.08 )"	7.94	0.46	1	3.78	1.84	"rf"
50	500	0.5	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.5	5	0.01	"1 ( 0 )"	"23.59 ( 0.56 )"	"4.98 ( 0.08 )"	24.61	0.96	1	23.59	4.98	"rf"
500	500	0.5	1	0.07	"1 ( 0 )"	"23.16 ( 0.45 )"	"3.28 ( 0.08 )"	25.88	0.89	1	23.16	3.28	"rf"
1000	500	0.5	0.5	0.13	"1 ( 0 )"	"22.83 ( 0.49 )"	"2.29 ( 0.08 )"	26.54	0.86	1	22.83	2.29	"rf"
50	1000	0.5	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.5	10	0.01	"1 ( 0 )"	"46.65 ( 0.77 )"	"4.98 ( 0.09 )"	47.67	0.98	1	46.65	4.98	"rf"
500	1000	0.5	2	0.04	"1 ( 0 )"	"47.46 ( 0.83 )"	"3.51 ( 0.08 )"	49.95	0.95	1	47.46	3.51	"rf"
1000	1000	0.5	1	0.06	"1 ( 0 )"	"47.83 ( 0.8 )"	"2.59 ( 0.08 )"	51.24	0.93	1	47.83	2.59	"rf"
50	50	0.7	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.7	0.5	0.16	"1 ( 0 )"	"1.87 ( 0.14 )"	"4.88 ( 0.08 )"	2.96	0.57	1	1.87	4.88	"rf"
500	50	0.7	0.1	0.45	"1 ( 0 )"	"2.14 ( 0.13 )"	"3.36 ( 0.08 )"	4.78	0.43	1	2.14	3.36	"rf"
1000	50	0.7	0.05	0.6	"1 ( 0 )"	"2.66 ( 0.14 )"	"2.27 ( 0.08 )"	6.39	0.39	1	2.66	2.27	"rf"
50	100	0.7	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.7	1	0.08	"1 ( 0 )"	"4.36 ( 0.22 )"	"4.8 ( 0.09 )"	5.56	0.77	1	4.36	4.8	"rf"
500	100	0.7	0.2	0.38	"1 ( 0 )"	"4.03 ( 0.18 )"	"3.1 ( 0.09 )"	6.93	0.56	1	4.03	3.1	"rf"
1000	100	0.7	0.1	0.5	"1 ( 0 )"	"4.65 ( 0.22 )"	"2 ( 0.07 )"	8.65	0.51	1	4.65	2	"rf"
50	500	0.7	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.7	5	0.02	"1 ( 0 )"	"23.58 ( 0.53 )"	"4.72 ( 0.09 )"	24.86	0.95	1	23.58	4.72	"rf"
500	500	0.7	1	0.1	"1 ( 0 )"	"23.09 ( 0.56 )"	"3.38 ( 0.09 )"	25.71	0.89	1	23.09	3.38	"rf"
1000	500	0.7	0.5	0.14	"1 ( 0 )"	"23.33 ( 0.53 )"	"2.58 ( 0.07 )"	26.75	0.87	1	23.33	2.58	"rf"
50	1000	0.7	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.7	10	0.01	"1 ( 0 )"	"46.8 ( 0.69 )"	"5.13 ( 0.07 )"	47.67	0.98	1	46.8	5.13	"rf"
500	1000	0.7	2	0.05	"1 ( 0 )"	"48.68 ( 0.77 )"	"3.54 ( 0.08 )"	51.14	0.95	1	48.68	3.54	"rf"
1000	1000	0.7	1	0.07	"1 ( 0 )"	"47.14 ( 0.7 )"	"2.73 ( 0.07 )"	50.41	0.93	1	47.14	2.73	"rf"
50	50	0.9	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.9	0.5	0.12	"1 ( 0 )"	"2.09 ( 0.16 )"	"4.98 ( 0.09 )"	3.06	0.62	1	2.09	4.98	"rf"
500	50	0.9	0.1	0.45	"1 ( 0 )"	"2.6 ( 0.13 )"	"3.33 ( 0.08 )"	5.27	0.47	1	2.6	3.33	"rf"
1000	50	0.9	0.05	0.51	"1 ( 0 )"	"3.48 ( 0.17 )"	"2.35 ( 0.08 )"	7.13	0.47	1	3.48	2.35	"rf"
50	100	0.9	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.9	1	0.07	"1 ( 0 )"	"4.4 ( 0.23 )"	"4.96 ( 0.09 )"	5.43	0.81	1	4.4	4.96	"rf"
500	100	0.9	0.2	0.35	"1 ( 0 )"	"4.57 ( 0.24 )"	"3.5 ( 0.08 )"	7.07	0.62	1	4.57	3.5	"rf"
1000	100	0.9	0.1	0.37	"1 ( 0 )"	"6.43 ( 0.28 )"	"2.57 ( 0.08 )"	9.86	0.63	1	6.43	2.57	"rf"
50	500	0.9	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.9	5	0.01	"1 ( 0 )"	"24.58 ( 0.66 )"	"5.1 ( 0.09 )"	25.48	0.96	1	24.58	5.1	"rf"
500	500	0.9	1	0.08	"1 ( 0 )"	"24.91 ( 0.57 )"	"3.53 ( 0.09 )"	27.38	0.91	1	24.91	3.53	"rf"
1000	500	0.9	0.5	0.13	"1 ( 0 )"	"24.53 ( 0.53 )"	"2.84 ( 0.08 )"	27.69	0.88	1	24.53	2.84	"rf"
50	1000	0.9	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.9	10	0	"1 ( 0 )"	"47.19 ( 0.96 )"	"5.2 ( 0.08 )"	47.99	0.98	1	47.19	5.2	"rf"
500	1000	0.9	2	0.04	"1 ( 0 )"	"48.11 ( 0.92 )"	"3.78 ( 0.08 )"	50.33	0.95	1	48.11	3.78	"rf"
1000	1000	0.9	1	0.07	"1 ( 0 )"	"49.47 ( 0.78 )"	"2.97 ( 0.07 )"	52.5	0.94	1	49.47	2.97	"rf"
50	50	0.1	1	0.13	"0.97 ( 0 )"	"14.84 ( 0.9 )"	"0.93 ( 0.09 )"	19.91	0.7	0.97	14.84	0.93	"compLasso"
100	50	0.1	0.5	0.33	"0.93 ( 0 )"	"7.19 ( 0.43 )"	"0.49 ( 0.07 )"	12.7	0.53	0.93	7.19	0.49	"compLasso"
500	50	0.1	0.1	0.7	"0.9 ( 0 )"	"1.93 ( 0.34 )"	"0.16 ( 0.04 )"	7.77	0.16	0.9	1.93	0.16	"compLasso"
1000	50	0.1	0.05	0.79	"0.9 ( 0 )"	"1.37 ( 0.42 )"	"0.01 ( 0.01 )"	7.36	0.1	0.9	1.37	0.01	"compLasso"
50	100	0.1	2	0.07	"0.99 ( 0 )"	"36.64 ( 2.16 )"	"0.65 ( 0.07 )"	41.99	0.84	0.99	36.64	0.65	"compLasso"
100	100	0.1	1	0.2	"0.94 ( 0 )"	"16.16 ( 1.22 )"	"0.47 ( 0.06 )"	21.69	0.7	0.94	16.16	0.47	"compLasso"
500	100	0.1	0.2	0.36	"0.9 ( 0 )"	"8.64 ( 1.35 )"	"0.08 ( 0.03 )"	14.56	0.37	0.9	8.64	0.08	"compLasso"
1000	100	0.1	0.1	0.47	"0.9 ( 0 )"	"5.83 ( 1.4 )"	"0.02 ( 0.01 )"	11.81	0.22	0.9	5.83	0.02	"compLasso"
50	500	0.1	10	0.01	"1 ( 0 )"	"248.06 ( 7.56 )"	"0.56 ( 0.07 )"	253.5	0.98	1	248.06	0.56	"compLasso"
100	500	0.1	5	0.03	"1 ( 0 )"	"132.04 ( 7.47 )"	"0.33 ( 0.05 )"	137.71	0.95	1	132.04	0.33	"compLasso"
500	500	0.1	1	0.34	"0.91 ( 0 )"	"12.55 ( 1.81 )"	"0.04 ( 0.02 )"	18.51	0.52	0.91	12.55	0.04	"compLasso"
1000	500	0.1	0.5	0.69	"0.9 ( 0 )"	"3.02 ( 0.6 )"	"0.01 ( 0.01 )"	9.01	0.22	0.9	3.02	0.01	"compLasso"
50	1000	0.1	20	0.01	"1 ( 0 )"	"398.98 ( 6.9 )"	"0.8 ( 0.08 )"	404.18	0.99	1	398.98	0.8	"compLasso"
100	1000	0.1	10	0.02	"1 ( 0 )"	"296.19 ( 8.29 )"	"0.35 ( 0.05 )"	301.84	0.98	1	296.19	0.35	"compLasso"
500	1000	0.1	2	0.39	"0.9 ( 0 )"	"10.2 ( 0.98 )"	"0.1 ( 0.03 )"	16.1	0.52	0.9	10.2	0.1	"compLasso"
1000	1000	0.1	1	0.83	"0.9 ( 0 )"	"1.76 ( 0.26 )"	"0.02 ( 0.01 )"	7.74	0.18	0.9	1.76	0.02	"compLasso"
50	50	0.3	1	0.14	"0.96 ( 0 )"	"13.96 ( 0.83 )"	"1.01 ( 0.09 )"	18.95	0.7	0.96	13.96	1.01	"compLasso"
100	50	0.3	0.5	0.25	"0.92 ( 0 )"	"9.38 ( 0.67 )"	"0.68 ( 0.07 )"	14.7	0.58	0.92	9.38	0.68	"compLasso"
500	50	0.3	0.1	0.44	"0.89 ( 0 )"	"5.43 ( 0.9 )"	"0.14 ( 0.03 )"	11.29	0.3	0.89	5.43	0.14	"compLasso"
1000	50	0.3	0.05	0.48	"0.88 ( 0 )"	"5.03 ( 1 )"	"0.09 ( 0.03 )"	10.94	0.23	0.88	5.03	0.09	"compLasso"
50	100	0.3	2	0.06	"0.99 ( 0 )"	"36.33 ( 2.24 )"	"0.9 ( 0.09 )"	41.43	0.85	0.99	36.33	0.9	"compLasso"
100	100	0.3	1	0.19	"0.93 ( 0 )"	"16.08 ( 0.95 )"	"0.75 ( 0.07 )"	21.33	0.72	0.93	16.08	0.75	"compLasso"
500	100	0.3	0.2	0.37	"0.89 ( 0 )"	"8.66 ( 1.15 )"	"0.11 ( 0.03 )"	14.55	0.42	0.89	8.66	0.11	"compLasso"
1000	100	0.3	0.1	0.39	"0.88 ( 0 )"	"8.45 ( 1.17 )"	"0.12 ( 0.03 )"	14.33	0.39	0.88	8.45	0.12	"compLasso"
50	500	0.3	10	0.01	"1 ( 0 )"	"228.37 ( 7.07 )"	"0.6 ( 0.08 )"	233.77	0.97	1	228.37	0.6	"compLasso"
100	500	0.3	5	0.04	"0.99 ( 0 )"	"114.53 ( 5.78 )"	"0.43 ( 0.06 )"	120.1	0.94	0.99	114.53	0.43	"compLasso"
500	500	0.3	1	0.31	"0.89 ( 0 )"	"13.64 ( 2.08 )"	"0.2 ( 0.04 )"	19.44	0.57	0.89	13.64	0.2	"compLasso"
1000	500	0.3	0.5	0.54	"0.88 ( 0 )"	"6.3 ( 1.15 )"	"0.09 ( 0.04 )"	12.21	0.38	0.88	6.3	0.09	"compLasso"
50	1000	0.3	20	0.01	"1 ( 0 )"	"412.73 ( 7.91 )"	"0.88 ( 0.1 )"	417.85	0.99	1	412.73	0.88	"compLasso"
100	1000	0.3	10	0.02	"1 ( 0 )"	"279.68 ( 7.94 )"	"0.45 ( 0.07 )"	285.23	0.98	1	279.68	0.45	"compLasso"
500	1000	0.3	2	0.3	"0.89 ( 0 )"	"14.7 ( 1.84 )"	"0.26 ( 0.05 )"	20.44	0.6	0.89	14.7	0.26	"compLasso"
1000	1000	0.3	1	0.73	"0.88 ( 0 )"	"3.45 ( 0.41 )"	"0.18 ( 0.04 )"	9.27	0.3	0.88	3.45	0.18	"compLasso"
50	50	0.5	1	0.13	"0.94 ( 0 )"	"12.95 ( 0.79 )"	"1.38 ( 0.1 )"	17.57	0.7	0.94	12.95	1.38	"compLasso"
100	50	0.5	0.5	0.23	"0.9 ( 0 )"	"8.65 ( 0.57 )"	"1.15 ( 0.08 )"	13.5	0.59	0.9	8.65	1.15	"compLasso"
500	50	0.5	0.1	0.39	"0.86 ( 0 )"	"4.81 ( 0.77 )"	"1.01 ( 0.1 )"	9.8	0.3	0.86	4.81	1.01	"compLasso"
1000	50	0.5	0.05	0.37	"0.86 ( 0 )"	"4.69 ( 1.01 )"	"1.17 ( 0.11 )"	9.52	0.22	0.86	4.69	1.17	"compLasso"
50	100	0.5	2	0.07	"0.98 ( 0 )"	"30.24 ( 1.94 )"	"1.32 ( 0.11 )"	34.92	0.84	0.98	30.24	1.32	"compLasso"
100	100	0.5	1	0.17	"0.91 ( 0 )"	"15.59 ( 1.05 )"	"1.24 ( 0.08 )"	20.35	0.73	0.91	15.59	1.24	"compLasso"
500	100	0.5	0.2	0.34	"0.87 ( 0 )"	"6.45 ( 1.28 )"	"1.24 ( 0.1 )"	11.21	0.29	0.87	6.45	1.24	"compLasso"
1000	100	0.5	0.1	0.28	"0.86 ( 0 )"	"8.33 ( 1.58 )"	"1.21 ( 0.1 )"	13.12	0.3	0.86	8.33	1.21	"compLasso"
50	500	0.5	10	0.01	"1 ( 0 )"	"211.18 ( 7.59 )"	"0.85 ( 0.09 )"	216.33	0.97	1	211.18	0.85	"compLasso"
100	500	0.5	5	0.05	"0.98 ( 0 )"	"84.58 ( 6.44 )"	"0.94 ( 0.1 )"	89.64	0.93	0.98	84.58	0.94	"compLasso"
500	500	0.5	1	0.27	"0.86 ( 0 )"	"13.6 ( 1.48 )"	"0.91 ( 0.09 )"	18.69	0.58	0.86	13.6	0.91	"compLasso"
1000	500	0.5	0.5	0.51	"0.86 ( 0 )"	"3.77 ( 0.58 )"	"1.52 ( 0.12 )"	8.25	0.28	0.86	3.77	1.52	"compLasso"
50	1000	0.5	20	0.01	"1 ( 0 )"	"394.36 ( 8.82 )"	"1.1 ( 0.1 )"	399.26	0.99	1	394.36	1.1	"compLasso"
100	1000	0.5	10	0.02	"1 ( 0 )"	"223.93 ( 9.26 )"	"0.61 ( 0.08 )"	229.32	0.97	1	223.93	0.61	"compLasso"
500	1000	0.5	2	0.3	"0.87 ( 0 )"	"12.27 ( 1.53 )"	"0.94 ( 0.1 )"	17.33	0.54	0.87	12.27	0.94	"compLasso"
1000	1000	0.5	1	0.59	"0.86 ( 0 )"	"3.92 ( 0.7 )"	"1.07 ( 0.11 )"	8.85	0.3	0.86	3.92	1.07	"compLasso"
50	50	0.7	1	0.16	"0.92 ( 0 )"	"10.22 ( 0.71 )"	"1.97 ( 0.1 )"	14.25	0.68	0.92	10.22	1.97	"compLasso"
100	50	0.7	0.5	0.23	"0.88 ( 0 )"	"7.69 ( 0.73 )"	"2.02 ( 0.08 )"	11.67	0.58	0.88	7.69	2.02	"compLasso"
500	50	0.7	0.1	0.67	"0.86 ( 0 )"	"1.32 ( 0.25 )"	"2.42 ( 0.06 )"	4.9	0.19	0.86	1.32	2.42	"compLasso"
1000	50	0.7	0.05	0.74	"0.85 ( 0 )"	"0.84 ( 0.14 )"	"2.48 ( 0.06 )"	4.36	0.13	0.85	0.84	2.48	"compLasso"
50	100	0.7	2	0.07	"0.96 ( 0 )"	"24.54 ( 1.62 )"	"2.08 ( 0.11 )"	28.46	0.84	0.96	24.54	2.08	"compLasso"
100	100	0.7	1	0.16	"0.89 ( 0 )"	"14.69 ( 1.28 )"	"1.85 ( 0.08 )"	18.84	0.71	0.89	14.69	1.85	"compLasso"
500	100	0.7	0.2	0.55	"0.86 ( 0 )"	"2.19 ( 0.64 )"	"2.33 ( 0.07 )"	5.86	0.18	0.86	2.19	2.33	"compLasso"
1000	100	0.7	0.1	0.81	"0.85 ( 0 )"	"0.51 ( 0.1 )"	"2.56 ( 0.05 )"	3.95	0.09	0.85	0.51	2.56	"compLasso"
50	500	0.7	10	0.02	"1 ( 0 )"	"161.23 ( 7.83 )"	"1.29 ( 0.1 )"	165.94	0.96	1	161.23	1.29	"compLasso"
100	500	0.7	5	0.06	"0.96 ( 0 )"	"60.05 ( 4.29 )"	"1.63 ( 0.12 )"	64.42	0.92	0.96	60.05	1.63	"compLasso"
500	500	0.7	1	0.5	"0.85 ( 0 )"	"3.12 ( 1.31 )"	"2.68 ( 0.07 )"	6.44	0.19	0.85	3.12	2.68	"compLasso"
1000	500	0.7	0.5	0.89	"0.85 ( 0 )"	"0.39 ( 0.06 )"	"2.88 ( 0.04 )"	3.51	0.09	0.85	0.39	2.88	"compLasso"
50	1000	0.7	20	0.01	"1 ( 0 )"	"363.91 ( 11.45 )"	"1.39 ( 0.1 )"	368.52	0.99	1	363.91	1.39	"compLasso"
100	1000	0.7	10	0.03	"0.99 ( 0 )"	"145.9 ( 7.62 )"	"1.24 ( 0.11 )"	150.66	0.96	0.99	145.9	1.24	"compLasso"
500	1000	0.7	2	0.61	"0.85 ( 0 )"	"2.38 ( 0.4 )"	"2.7 ( 0.06 )"	5.68	0.27	0.85	2.38	2.7	"compLasso"
1000	1000	0.7	1	0.87	"0.85 ( 0 )"	"0.65 ( 0.08 )"	"2.87 ( 0.04 )"	3.78	0.14	0.85	0.65	2.87	"compLasso"
50	50	0.9	1	0.14	"0.84 ( 0.01 )"	"9.98 ( 0.78 )"	"2.68 ( 0.11 )"	13.3	0.7	0.84	9.98	2.68	"compLasso"
100	50	0.9	0.5	0.25	"0.8 ( 0 )"	"6.57 ( 0.7 )"	"2.73 ( 0.09 )"	9.84	0.58	0.8	6.57	2.73	"compLasso"
500	50	0.9	0.1	0.52	"0.8 ( 0 )"	"2.9 ( 0.5 )"	"2.75 ( 0.07 )"	6.15	0.33	0.8	2.9	2.75	"compLasso"
1000	50	0.9	0.05	0.7	"0.8 ( 0 )"	"1.88 ( 0.19 )"	"2.79 ( 0.05 )"	5.09	0.3	0.8	1.88	2.79	"compLasso"
50	100	0.9	2	0.1	"0.87 ( 0.01 )"	"15.93 ( 1 )"	"2.88 ( 0.1 )"	19.05	0.81	0.87	15.93	2.88	"compLasso"
100	100	0.9	1	0.14	"0.81 ( 0 )"	"14.34 ( 1.4 )"	"2.75 ( 0.1 )"	17.59	0.73	0.81	14.34	2.75	"compLasso"
500	100	0.9	0.2	0.56	"0.8 ( 0 )"	"3.51 ( 0.44 )"	"2.86 ( 0.04 )"	6.65	0.4	0.8	3.51	2.86	"compLasso"
1000	100	0.9	0.1	0.57	"0.8 ( 0 )"	"3.18 ( 0.59 )"	"2.86 ( 0.04 )"	6.32	0.34	0.8	3.18	2.86	"compLasso"
50	500	0.9	10	0.02	"0.99 ( 0 )"	"95.52 ( 6.42 )"	"2.37 ( 0.15 )"	99.15	0.95	0.99	95.52	2.37	"compLasso"
100	500	0.9	5	0.04	"0.88 ( 0 )"	"53.08 ( 3.93 )"	"2.8 ( 0.12 )"	56.28	0.93	0.88	53.08	2.8	"compLasso"
500	500	0.9	1	0.4	"0.79 ( 0 )"	"6.75 ( 0.73 )"	"2.76 ( 0.07 )"	9.99	0.56	0.79	6.75	2.76	"compLasso"
1000	500	0.9	0.5	0.73	"0.8 ( 0 )"	"2.48 ( 0.28 )"	"2.79 ( 0.05 )"	5.69	0.37	0.8	2.48	2.79	"compLasso"
50	1000	0.9	20	0.01	"1 ( 0 )"	"201.98 ( 10.15 )"	"2.34 ( 0.16 )"	205.64	0.98	1	201.98	2.34	"compLasso"
100	1000	0.9	10	0.03	"0.95 ( 0 )"	"70.81 ( 4.4 )"	"3.05 ( 0.12 )"	73.76	0.96	0.95	70.81	3.05	"compLasso"
500	1000	0.9	2	0.38	"0.79 ( 0 )"	"7.71 ( 1.09 )"	"2.85 ( 0.06 )"	10.86	0.59	0.79	7.71	2.85	"compLasso"
1000	1000	0.9	1	0.76	"0.8 ( 0 )"	"2.41 ( 0.17 )"	"2.77 ( 0.07 )"	5.64	0.39	0.8	2.41	2.77	"compLasso"
