"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
100	100	0.5	1	0.26	"0.8 ( 0.01 )"	"7.61 ( 0.43 )"	"2.03 ( 0.12 )"	10.58	0.55	0.8	7.61	2.03	"lasso"
500	100	0.5	0.2	0.43	"0.91 ( 0 )"	"8.05 ( 0.31 )"	"0 ( 0 )"	13.05	0.51	0.91	8.05	0	"lasso"
1000	100	0.5	0.1	0.65	"0.91 ( 0 )"	"3.9 ( 0.16 )"	"0 ( 0 )"	8.9	0.3	0.91	3.9	0	"lasso"
50	500	0.5	10	0.14	"0.7 ( 0.01 )"	"7.23 ( 0.28 )"	"4.26 ( 0.07 )"	7.97	0.76	0.7	7.23	4.26	"lasso"
100	500	0.5	5	0.18	"0.77 ( 0.01 )"	"8.77 ( 0.71 )"	"3.31 ( 0.1 )"	10.46	0.61	0.77	8.77	3.31	"lasso"
500	500	0.5	1	0.2	"0.9 ( 0 )"	"23.13 ( 0.75 )"	"0.01 ( 0.01 )"	28.12	0.77	0.9	23.13	0.01	"lasso"
1000	500	0.5	0.5	0.32	"0.91 ( 0 )"	"13.23 ( 0.36 )"	"0.01 ( 0.01 )"	18.22	0.66	0.91	13.23	0.01	"lasso"
50	1000	0.5	20	0.11	"0.68 ( 0.01 )"	"9.13 ( 0.25 )"	"4.4 ( 0.06 )"	9.73	0.83	0.68	9.13	4.4	"lasso"
100	1000	0.5	10	0.19	"0.77 ( 0.01 )"	"8.39 ( 0.65 )"	"3.48 ( 0.08 )"	9.91	0.64	0.77	8.39	3.48	"lasso"
500	1000	0.5	2	0.16	"0.89 ( 0 )"	"30.97 ( 0.97 )"	"0 ( 0 )"	35.97	0.82	0.89	30.97	0	"lasso"
1000	1000	0.5	1	0.23	"0.91 ( 0 )"	"21.03 ( 0.66 )"	"0 ( 0 )"	26.03	0.75	0.91	21.03	0	"lasso"
50	50	0.7	1	0.28	"0.77 ( 0.01 )"	"3.76 ( 0.26 )"	"3.51 ( 0.11 )"	5.25	0.42	0.77	3.76	3.51	"lasso"
100	50	0.7	0.5	0.33	"0.81 ( 0.01 )"	"5.27 ( 0.32 )"	"2.04 ( 0.12 )"	8.23	0.44	0.81	5.27	2.04	"lasso"
500	50	0.7	0.1	0.57	"0.89 ( 0 )"	"4.61 ( 0.17 )"	"0.04 ( 0.02 )"	9.57	0.36	0.89	4.61	0.04	"lasso"
1000	50	0.7	0.05	0.74	"0.89 ( 0 )"	"2.8 ( 0.15 )"	"0 ( 0 )"	7.8	0.21	0.89	2.8	0	"lasso"
