"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
100	1000	"0.1"	10	0	"0.56 ( 0.01 )"	"103.21 ( 12.75 )"	"4.15 ( 0.17 )"	104.06	"0.95"	0.56	103.21	4.15
500	1000	"0.1"	2	0.07	"0.61 ( 0 )"	"29.41 ( 7.4 )"	"3.25 ( 0.09 )"	31.16	"0.62"	0.61	29.41	3.25
1000	1000	"0.1"	1	0.18	"0.62 ( 0 )"	"16.15 ( 2.77 )"	"2.73 ( 0.09 )"	18.42	"0.53"	0.62	16.15	2.73
50	50	"0.3"	1	0.08	"0.68 ( 0.01 )"	"14.8 ( 1.01 )"	"1.73 ( 0.15 )"	18.07	"0.69"	0.68	14.8	1.73
100	50	"0.3"	0.5	0.15	"0.77 ( 0.01 )"	"15.15 ( 1 )"	"0.64 ( 0.09 )"	19.51	"0.65"	0.77	15.15	0.64
500	50	"0.3"	0.1	0.35	"0.85 ( 0 )"	"8.95 ( 0.69 )"	"0 ( 0 )"	13.95	"0.46"	0.85	8.95	0
1000	50	"0.3"	0.05	0.33	"0.86 ( 0 )"	"9.66 ( 0.93 )"	"0 ( 0 )"	14.66	"0.44"	0.86	9.66	0
50	100	"0.3"	2	0.05	"0.67 ( 0.01 )"	"23.92 ( 2 )"	"2.13 ( 0.15 )"	26.79	"0.77"	0.67	23.92	2.13
100	100	"0.3"	1	0.14	"0.74 ( 0.01 )"	"17.75 ( 1.51 )"	"1.13 ( 0.11 )"	21.62	"0.67"	0.74	17.75	1.13
500	100	"0.3"	0.2	0.32	"0.86 ( 0 )"	"11.53 ( 1.02 )"	"0.01 ( 0.01 )"	16.52	"0.51"	0.86	11.53	0.01
1000	100	"0.3"	0.1	0.33	"0.86 ( 0 )"	"11.15 ( 1.03 )"	"0 ( 0 )"	16.15	"0.49"	0.86	11.15	0
50	500	"0.3"	10	0.01	"0.6 ( 0.01 )"	"81.07 ( 6.91 )"	"2.92 ( 0.14 )"	83.15	"0.93"	0.6	81.07	2.92
100	500	"0.3"	5	0.06	"0.66 ( 0.01 )"	"38.14 ( 5.11 )"	"2.16 ( 0.13 )"	40.98	"0.78"	0.66	38.14	2.16
500	500	"0.3"	1	0.22	"0.84 ( 0 )"	"20.87 ( 1.93 )"	"0.02 ( 0.01 )"	25.85	"0.63"	0.84	20.87	0.02
1000	500	"0.3"	0.5	0.29	"0.86 ( 0 )"	"15.35 ( 1.6 )"	"0 ( 0 )"	20.35	"0.53"	0.86	15.35	0
50	1000	"0.3"	20	0.01	"0.63 ( 0.01 )"	"104.78 ( 9.53 )"	"3.37 ( 0.14 )"	106.41	"0.96"	0.63	104.78	3.37
100	1000	"0.3"	10	0.04	"0.64 ( 0.01 )"	"55.95 ( 7.57 )"	"2.5 ( 0.13 )"	58.45	"0.85"	0.64	55.95	2.5
500	1000	"0.3"	2	0.23	"0.85 ( 0 )"	"20.69 ( 1.82 )"	"0.05 ( 0.02 )"	25.64	"0.64"	0.85	20.69	0.05
