"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	100	"0.5"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.5"	1	0.08	"1 ( 0 )"	"4.6 ( 0.23 )"	"4.71 ( 0.07 )"	5.89	"0.75"	1	4.6	4.71
500	100	"0.5"	0.2	0.31	"1 ( 0 )"	"4.2 ( 0.22 )"	"3.01 ( 0.08 )"	7.19	"0.55"	1	4.2	3.01
1000	100	"0.5"	0.1	0.5	"1 ( 0 )"	"3.78 ( 0.18 )"	"1.84 ( 0.08 )"	7.94	"0.46"	1	3.78	1.84
50	500	"0.5"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.5"	5	0.01	"1 ( 0 )"	"23.59 ( 0.56 )"	"4.98 ( 0.08 )"	24.61	"0.96"	1	23.59	4.98
500	500	"0.5"	1	0.07	"1 ( 0 )"	"23.16 ( 0.45 )"	"3.28 ( 0.08 )"	25.88	"0.89"	1	23.16	3.28
1000	500	"0.5"	0.5	0.13	"1 ( 0 )"	"22.83 ( 0.49 )"	"2.29 ( 0.08 )"	26.54	"0.86"	1	22.83	2.29
50	1000	"0.5"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.5"	10	0.01	"1 ( 0 )"	"46.65 ( 0.77 )"	"4.98 ( 0.09 )"	47.67	"0.98"	1	46.65	4.98
500	1000	"0.5"	2	0.04	"1 ( 0 )"	"47.46 ( 0.83 )"	"3.51 ( 0.08 )"	49.95	"0.95"	1	47.46	3.51
1000	1000	"0.5"	1	0.06	"1 ( 0 )"	"47.83 ( 0.8 )"	"2.59 ( 0.08 )"	51.24	"0.93"	1	47.83	2.59
50	50	"0.7"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
