"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
500	100	"0.5"	0.2	0.34	"0.87 ( 0 )"	"6.45 ( 1.28 )"	"1.24 ( 0.1 )"	11.21	"0.29"	0.87	6.45	1.24
1000	100	"0.5"	0.1	0.28	"0.86 ( 0 )"	"8.33 ( 1.58 )"	"1.21 ( 0.1 )"	13.12	"0.3"	0.86	8.33	1.21
50	500	"0.5"	10	0.01	"1 ( 0 )"	"211.18 ( 7.59 )"	"0.85 ( 0.09 )"	216.33	"0.97"	1	211.18	0.85
100	500	"0.5"	5	0.05	"0.98 ( 0 )"	"84.58 ( 6.44 )"	"0.94 ( 0.1 )"	89.64	"0.93"	0.98	84.58	0.94
500	500	"0.5"	1	0.27	"0.86 ( 0 )"	"13.6 ( 1.48 )"	"0.91 ( 0.09 )"	18.69	"0.58"	0.86	13.6	0.91
1000	500	"0.5"	0.5	0.51	"0.86 ( 0 )"	"3.77 ( 0.58 )"	"1.52 ( 0.12 )"	8.25	"0.28"	0.86	3.77	1.52
50	1000	"0.5"	20	0.01	"1 ( 0 )"	"394.36 ( 8.82 )"	"1.1 ( 0.1 )"	399.26	"0.99"	1	394.36	1.1
100	1000	"0.5"	10	0.02	"1 ( 0 )"	"223.93 ( 9.26 )"	"0.61 ( 0.08 )"	229.32	"0.97"	1	223.93	0.61
500	1000	"0.5"	2	0.3	"0.87 ( 0 )"	"12.27 ( 1.53 )"	"0.94 ( 0.1 )"	17.33	"0.54"	0.87	12.27	0.94
1000	1000	"0.5"	1	0.59	"0.86 ( 0 )"	"3.92 ( 0.7 )"	"1.07 ( 0.11 )"	8.85	"0.3"	0.86	3.92	1.07
50	50	"0.7"	1	0.16	"0.92 ( 0 )"	"10.22 ( 0.71 )"	"1.97 ( 0.1 )"	14.25	"0.68"	0.92	10.22	1.97
100	50	"0.7"	0.5	0.23	"0.88 ( 0 )"	"7.69 ( 0.73 )"	"2.02 ( 0.08 )"	11.67	"0.58"	0.88	7.69	2.02
500	50	"0.7"	0.1	0.67	"0.86 ( 0 )"	"1.32 ( 0.25 )"	"2.42 ( 0.06 )"	4.9	"0.19"	0.86	1.32	2.42
1000	50	"0.7"	0.05	0.74	"0.85 ( 0 )"	"0.84 ( 0.14 )"	"2.48 ( 0.06 )"	4.36	"0.13"	0.85	0.84	2.48
