"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
100	500	0.7	5	0.21	"0.75 ( 0.01 )"	"9.59 ( 0.72 )"	"2.44 ( 0.11 )"	12.15	0.61	0.75	9.59	2.44	"lasso"
500	500	0.7	1	0.18	"0.9 ( 0 )"	"26.2 ( 0.86 )"	"0 ( 0 )"	31.2	0.79	0.9	26.2	0	"lasso"
1000	500	0.7	0.5	0.28	"0.91 ( 0 )"	"15.6 ( 0.55 )"	"0 ( 0 )"	20.6	0.68	0.91	15.6	0	"lasso"
50	1000	0.7	20	0.05	"0.64 ( 0.01 )"	"11.44 ( 0.28 )"	"4.51 ( 0.08 )"	11.93	0.87	0.64	11.44	4.51	"lasso"
100	1000	0.7	10	0.18	"0.71 ( 0.01 )"	"10.03 ( 0.71 )"	"2.95 ( 0.1 )"	12.08	0.65	0.71	10.03	2.95	"lasso"
500	1000	0.7	2	0.14	"0.9 ( 0 )"	"34.85 ( 1.14 )"	"0 ( 0 )"	39.85	0.83	0.9	34.85	0	"lasso"
1000	1000	0.7	1	0.2	"0.91 ( 0 )"	"24.83 ( 0.82 )"	"0 ( 0 )"	29.83	0.78	0.91	24.83	0	"lasso"
50	50	0.9	1	0.3	"0.73 ( 0.01 )"	"4.4 ( 0.26 )"	"2.55 ( 0.11 )"	6.85	0.44	0.73	4.4	2.55	"lasso"
100	50	0.9	0.5	0.33	"0.85 ( 0.01 )"	"8.14 ( 0.35 )"	"0.42 ( 0.06 )"	12.72	0.53	0.85	8.14	0.42	"lasso"
500	50	0.9	0.1	0.54	"0.92 ( 0 )"	"5.15 ( 0.22 )"	"0 ( 0 )"	10.15	0.38	0.92	5.15	0	"lasso"
1000	50	0.9	0.05	0.76	"0.92 ( 0 )"	"2.61 ( 0.13 )"	"0 ( 0 )"	7.61	0.19	0.92	2.61	0	"lasso"
50	100	0.9	2	0.23	"0.7 ( 0.01 )"	"4.84 ( 0.24 )"	"3.3 ( 0.09 )"	6.54	0.54	0.7	4.84	3.3	"lasso"
100	100	0.9	1	0.28	"0.81 ( 0.01 )"	"9.92 ( 0.51 )"	"0.87 ( 0.08 )"	14.05	0.57	0.81	9.92	0.87	"lasso"
500	100	0.9	0.2	0.37	"0.92 ( 0 )"	"9.65 ( 0.35 )"	"0 ( 0 )"	14.65	0.57	0.92	9.65	0	"lasso"
1000	100	0.9	0.1	0.62	"0.93 ( 0 )"	"4.29 ( 0.18 )"	"0 ( 0 )"	9.29	0.33	0.93	4.29	0	"lasso"
50	500	0.9	10	0.08	"0.62 ( 0.01 )"	"8.99 ( 0.26 )"	"4.13 ( 0.09 )"	9.86	0.8	0.62	8.99	4.13	"lasso"
100	500	0.9	5	0.23	"0.74 ( 0.01 )"	"8.85 ( 0.62 )"	"2.4 ( 0.12 )"	11.45	0.6	0.74	8.85	2.4	"lasso"
500	500	0.9	1	0.19	"0.91 ( 0 )"	"24.91 ( 0.78 )"	"0 ( 0 )"	29.91	0.78	0.91	24.91	0	"lasso"
1000	500	0.9	0.5	0.31	"0.92 ( 0 )"	"14.12 ( 0.43 )"	"0 ( 0 )"	19.12	0.67	0.92	14.12	0	"lasso"
50	1000	0.9	20	0.07	"0.64 ( 0.01 )"	"10.81 ( 0.29 )"	"4.22 ( 0.08 )"	11.59	0.84	0.64	10.81	4.22	"lasso"
100	1000	0.9	10	0.19	"0.74 ( 0.01 )"	"11.15 ( 0.75 )"	"2.44 ( 0.11 )"	13.71	0.65	0.74	11.15	2.44	"lasso"
500	1000	0.9	2	0.14	"0.91 ( 0 )"	"34.98 ( 1.04 )"	"0 ( 0 )"	39.98	0.83	0.91	34.98	0	"lasso"
1000	1000	0.9	1	0.22	"0.92 ( 0 )"	"22.21 ( 0.73 )"	"0 ( 0 )"	27.21	0.76	0.92	22.21	0	"lasso"
50	50	0.1	1	0.01	"0.61 ( 0.01 )"	"17.05 ( 1.31 )"	"3.17 ( 0.19 )"	18.88	0.8	0.61	17.05	3.17	"elnet"
100	50	0.1	0.5	0.04	"0.59 ( 0.01 )"	"13.62 ( 1.31 )"	"2.9 ( 0.17 )"	15.72	0.64	0.59	13.62	2.9	"elnet"
500	50	0.1	0.1	0.11	"0.64 ( 0 )"	"16.89 ( 1.14 )"	"1.1 ( 0.13 )"	20.79	0.68	0.64	16.89	1.1	"elnet"
1000	50	0.1	0.05	0.12	"0.66 ( 0 )"	"19.43 ( 1.02 )"	"0.42 ( 0.08 )"	24.01	0.71	0.66	19.43	0.42	"elnet"
50	100	0.1	2	0.01	"0.63 ( 0.01 )"	"27.39 ( 2.11 )"	"3.38 ( 0.17 )"	29.01	0.87	0.63	27.39	3.38	"elnet"
100	100	0.1	1	0.02	"0.59 ( 0.01 )"	"26.17 ( 2.4 )"	"3.34 ( 0.16 )"	27.83	0.84	0.59	26.17	3.34	"elnet"
500	100	0.1	0.2	0.09	"0.62 ( 0 )"	"22.75 ( 1.87 )"	"1.61 ( 0.13 )"	26.14	0.69	0.62	22.75	1.61	"elnet"
1000	100	0.1	0.1	0.1	"0.64 ( 0 )"	"28.32 ( 1.88 )"	"0.66 ( 0.1 )"	32.66	0.77	0.64	28.32	0.66	"elnet"
50	500	0.1	10	0	"0.61 ( 0.01 )"	"69.03 ( 7.45 )"	"4.13 ( 0.19 )"	69.9	0.96	0.61	69.03	4.13	"elnet"
100	500	0.1	5	0	"0.57 ( 0.01 )"	"70.64 ( 9.13 )"	"3.91 ( 0.17 )"	71.73	0.91	0.57	70.64	3.91	"elnet"
500	500	0.1	1	0.1	"0.61 ( 0.01 )"	"20.55 ( 4.33 )"	"3.15 ( 0.1 )"	22.4	0.62	0.61	20.55	3.15	"elnet"
1000	500	0.1	0.5	0.12	"0.63 ( 0 )"	"26.03 ( 3.45 )"	"2.38 ( 0.11 )"	28.65	0.62	0.63	26.03	2.38	"elnet"
50	1000	0.1	20	0	"0.59 ( 0.01 )"	"103.61 ( 10.54 )"	"4.34 ( 0.18 )"	104.27	0.98	0.59	103.61	4.34	"elnet"
100	1000	0.1	10	0	"0.56 ( 0.01 )"	"103.21 ( 12.75 )"	"4.15 ( 0.17 )"	104.06	0.95	0.56	103.21	4.15	"elnet"
500	1000	0.1	2	0.07	"0.61 ( 0 )"	"29.41 ( 7.4 )"	"3.25 ( 0.09 )"	31.16	0.62	0.61	29.41	3.25	"elnet"
1000	1000	0.1	1	0.18	"0.62 ( 0 )"	"16.15 ( 2.77 )"	"2.73 ( 0.09 )"	18.42	0.53	0.62	16.15	2.73	"elnet"
50	50	0.3	1	0.08	"0.68 ( 0.01 )"	"14.8 ( 1.01 )"	"1.73 ( 0.15 )"	18.07	0.69	0.68	14.8	1.73	"elnet"
100	50	0.3	0.5	0.15	"0.77 ( 0.01 )"	"15.15 ( 1 )"	"0.64 ( 0.09 )"	19.51	0.65	0.77	15.15	0.64	"elnet"
500	50	0.3	0.1	0.35	"0.85 ( 0 )"	"8.95 ( 0.69 )"	"0 ( 0 )"	13.95	0.46	0.85	8.95	0	"elnet"
1000	50	0.3	0.05	0.33	"0.86 ( 0 )"	"9.66 ( 0.93 )"	"0 ( 0 )"	14.66	0.44	0.86	9.66	0	"elnet"
50	100	0.3	2	0.05	"0.67 ( 0.01 )"	"23.92 ( 2 )"	"2.13 ( 0.15 )"	26.79	0.77	0.67	23.92	2.13	"elnet"
100	100	0.3	1	0.14	"0.74 ( 0.01 )"	"17.75 ( 1.51 )"	"1.13 ( 0.11 )"	21.62	0.67	0.74	17.75	1.13	"elnet"
500	100	0.3	0.2	0.32	"0.86 ( 0 )"	"11.53 ( 1.02 )"	"0.01 ( 0.01 )"	16.52	0.51	0.86	11.53	0.01	"elnet"
1000	100	0.3	0.1	0.33	"0.86 ( 0 )"	"11.15 ( 1.03 )"	"0 ( 0 )"	16.15	0.49	0.86	11.15	0	"elnet"
50	500	0.3	10	0.01	"0.6 ( 0.01 )"	"81.07 ( 6.91 )"	"2.92 ( 0.14 )"	83.15	0.93	0.6	81.07	2.92	"elnet"
100	500	0.3	5	0.06	"0.66 ( 0.01 )"	"38.14 ( 5.11 )"	"2.16 ( 0.13 )"	40.98	0.78	0.66	38.14	2.16	"elnet"
500	500	0.3	1	0.22	"0.84 ( 0 )"	"20.87 ( 1.93 )"	"0.02 ( 0.01 )"	25.85	0.63	0.84	20.87	0.02	"elnet"
1000	500	0.3	0.5	0.29	"0.86 ( 0 )"	"15.35 ( 1.6 )"	"0 ( 0 )"	20.35	0.53	0.86	15.35	0	"elnet"
50	1000	0.3	20	0.01	"0.63 ( 0.01 )"	"104.78 ( 9.53 )"	"3.37 ( 0.14 )"	106.41	0.96	0.63	104.78	3.37	"elnet"
100	1000	0.3	10	0.04	"0.64 ( 0.01 )"	"55.95 ( 7.57 )"	"2.5 ( 0.13 )"	58.45	0.85	0.64	55.95	2.5	"elnet"
500	1000	0.3	2	0.23	"0.85 ( 0 )"	"20.69 ( 1.82 )"	"0.05 ( 0.02 )"	25.64	0.64	0.85	20.69	0.05	"elnet"
1000	1000	0.3	1	0.29	"0.86 ( 0 )"	"15.19 ( 1.67 )"	"0 ( 0 )"	20.19	0.51	0.86	15.19	0	"elnet"
50	50	0.5	1	0.11	"0.7 ( 0.01 )"	"13.99 ( 0.96 )"	"1.59 ( 0.12 )"	17.4	0.68	0.7	13.99	1.59	"elnet"
100	50	0.5	0.5	0.21	"0.8 ( 0.01 )"	"11.28 ( 0.76 )"	"0.81 ( 0.1 )"	15.47	0.57	0.8	11.28	0.81	"elnet"
500	50	0.5	0.1	0.35	"0.88 ( 0 )"	"9.06 ( 0.77 )"	"0 ( 0 )"	14.06	0.46	0.88	9.06	0	"elnet"
1000	50	0.5	0.05	0.39	"0.9 ( 0 )"	"8.03 ( 0.81 )"	"0 ( 0 )"	13.03	0.4	0.9	8.03	0	"elnet"
50	100	0.5	2	0.06	"0.68 ( 0.01 )"	"25.61 ( 2.1 )"	"1.79 ( 0.12 )"	28.82	0.77	0.68	25.61	1.79	"elnet"
100	100	0.5	1	0.18	"0.79 ( 0.01 )"	"13.99 ( 1.21 )"	"1.12 ( 0.1 )"	17.87	0.6	0.79	13.99	1.12	"elnet"
500	100	0.5	0.2	0.32	"0.89 ( 0 )"	"11.65 ( 1.03 )"	"0 ( 0 )"	16.65	0.52	0.89	11.65	0	"elnet"
1000	100	0.5	0.1	0.38	"0.89 ( 0 )"	"9.51 ( 0.97 )"	"0 ( 0 )"	14.51	0.43	0.89	9.51	0	"elnet"
50	500	0.5	10	0.02	"0.61 ( 0.01 )"	"72.53 ( 6.75 )"	"2.72 ( 0.13 )"	74.81	0.92	0.61	72.53	2.72	"elnet"
100	500	0.5	5	0.08	"0.7 ( 0.01 )"	"32.65 ( 4.21 )"	"1.9 ( 0.11 )"	35.75	0.76	0.7	32.65	1.9	"elnet"
500	500	0.5	1	0.23	"0.88 ( 0 )"	"20.07 ( 1.75 )"	"0 ( 0 )"	25.07	0.63	0.88	20.07	0	"elnet"
1000	500	0.5	0.5	0.3	"0.89 ( 0 )"	"14.5 ( 1.43 )"	"0 ( 0 )"	19.5	0.53	0.89	14.5	0	"elnet"
50	1000	0.5	20	0.01	"0.62 ( 0.01 )"	"85.83 ( 8.57 )"	"3.31 ( 0.12 )"	87.52	0.94	0.62	85.83	3.31	"elnet"
100	1000	0.5	10	0.05	"0.67 ( 0.01 )"	"51.72 ( 6.91 )"	"2.12 ( 0.12 )"	54.6	0.83	0.67	51.72	2.12	"elnet"
500	1000	0.5	2	0.24	"0.88 ( 0 )"	"19.39 ( 1.85 )"	"0.02 ( 0.01 )"	24.37	0.59	0.88	19.39	0.02	"elnet"
1000	1000	0.5	1	0.27	"0.89 ( 0 )"	"17.02 ( 1.92 )"	"0 ( 0 )"	22.02	0.54	0.89	17.02	0	"elnet"
50	50	0.7	1	0.13	"0.73 ( 0.01 )"	"12.65 ( 0.97 )"	"1.61 ( 0.12 )"	16.04	0.63	0.73	12.65	1.61	"elnet"
100	50	0.7	0.5	0.22	"0.81 ( 0.01 )"	"11.53 ( 0.67 )"	"0.54 ( 0.09 )"	15.99	0.58	0.81	11.53	0.54	"elnet"
500	50	0.7	0.1	0.34	"0.91 ( 0 )"	"9.34 ( 0.72 )"	"0 ( 0 )"	14.34	0.48	0.91	9.34	0	"elnet"
1000	50	0.7	0.05	0.36	"0.91 ( 0 )"	"8.58 ( 0.78 )"	"0 ( 0 )"	13.58	0.42	0.91	8.58	0	"elnet"
50	100	0.7	2	0.07	"0.69 ( 0.01 )"	"24.95 ( 1.99 )"	"1.47 ( 0.1 )"	28.48	0.76	0.69	24.95	1.47	"elnet"
100	100	0.7	1	0.17	"0.79 ( 0.01 )"	"15.63 ( 1.26 )"	"0.96 ( 0.11 )"	19.67	0.63	0.79	15.63	0.96	"elnet"
500	100	0.7	0.2	0.34	"0.9 ( 0 )"	"10.78 ( 0.81 )"	"0.01 ( 0.01 )"	15.77	0.5	0.9	10.78	0.01	"elnet"
1000	100	0.7	0.1	0.38	"0.91 ( 0 )"	"9.42 ( 0.9 )"	"0 ( 0 )"	14.42	0.44	0.91	9.42	0	"elnet"
50	500	0.7	10	0.02	"0.62 ( 0.01 )"	"66.01 ( 6.05 )"	"2.75 ( 0.12 )"	68.26	0.92	0.62	66.01	2.75	"elnet"
100	500	0.7	5	0.1	"0.74 ( 0.01 )"	"25.15 ( 2.8 )"	"1.84 ( 0.12 )"	28.31	0.71	0.74	25.15	1.84	"elnet"
500	500	0.7	1	0.25	"0.9 ( 0 )"	"17.68 ( 1.71 )"	"0 ( 0 )"	22.68	0.59	0.9	17.68	0	"elnet"
1000	500	0.7	0.5	0.31	"0.91 ( 0 )"	"13.6 ( 1.43 )"	"0 ( 0 )"	18.6	0.51	0.91	13.6	0	"elnet"
50	1000	0.7	20	0.01	"0.62 ( 0.01 )"	"86.38 ( 8.91 )"	"3.09 ( 0.13 )"	88.29	0.93	0.62	86.38	3.09	"elnet"
100	1000	0.7	10	0.06	"0.69 ( 0.01 )"	"44.56 ( 6.27 )"	"2.12 ( 0.11 )"	47.44	0.82	0.69	44.56	2.12	"elnet"
500	1000	0.7	2	0.23	"0.9 ( 0 )"	"20.2 ( 1.89 )"	"0.03 ( 0.02 )"	25.17	0.62	0.9	20.2	0.03	"elnet"
1000	1000	0.7	1	0.27	"0.91 ( 0 )"	"16.62 ( 1.81 )"	"0 ( 0 )"	21.62	0.54	0.91	16.62	0	"elnet"
50	50	0.9	1	0.14	"0.74 ( 0.01 )"	"12.38 ( 0.9 )"	"1.46 ( 0.1 )"	15.92	0.63	0.74	12.38	1.46	"elnet"
100	50	0.9	0.5	0.21	"0.84 ( 0.01 )"	"12.36 ( 0.84 )"	"0.46 ( 0.08 )"	16.9	0.58	0.84	12.36	0.46	"elnet"
500	50	0.9	0.1	0.39	"0.92 ( 0 )"	"7.89 ( 0.68 )"	"0 ( 0 )"	12.89	0.42	0.92	7.89	0	"elnet"
1000	50	0.9	0.05	0.41	"0.92 ( 0 )"	"7.38 ( 0.78 )"	"0 ( 0 )"	12.38	0.38	0.92	7.38	0	"elnet"
50	100	0.9	2	0.09	"0.7 ( 0.01 )"	"19.37 ( 1.75 )"	"2.08 ( 0.13 )"	22.29	0.75	0.7	19.37	2.08	"elnet"
100	100	0.9	1	0.2	"0.81 ( 0.01 )"	"14.28 ( 1.07 )"	"0.93 ( 0.09 )"	18.35	0.61	0.81	14.28	0.93	"elnet"
500	100	0.9	0.2	0.36	"0.92 ( 0 )"	"10.15 ( 0.82 )"	"0 ( 0 )"	15.15	0.48	0.92	10.15	0	"elnet"
1000	100	0.9	0.1	0.38	"0.93 ( 0 )"	"9.4 ( 1.07 )"	"0 ( 0 )"	14.4	0.42	0.93	9.4	0	"elnet"
50	500	0.9	10	0.02	"0.62 ( 0.01 )"	"62.39 ( 5.92 )"	"2.69 ( 0.14 )"	64.7	0.9	0.62	62.39	2.69	"elnet"
100	500	0.9	5	0.12	"0.74 ( 0.01 )"	"21.21 ( 2.91 )"	"2.02 ( 0.12 )"	24.19	0.69	0.74	21.21	2.02	"elnet"
500	500	0.9	1	0.28	"0.91 ( 0 )"	"15.52 ( 1.4 )"	"0 ( 0 )"	20.52	0.57	0.91	15.52	0	"elnet"
1000	500	0.9	0.5	0.29	"0.92 ( 0 )"	"14.84 ( 1.41 )"	"0 ( 0 )"	19.84	0.56	0.92	14.84	0	"elnet"
50	1000	0.9	20	0.02	"0.63 ( 0.01 )"	"78.65 ( 8.46 )"	"3.08 ( 0.12 )"	80.57	0.92	0.63	78.65	3.08	"elnet"
100	1000	0.9	10	0.06	"0.74 ( 0.01 )"	"43.94 ( 6.95 )"	"2.01 ( 0.11 )"	46.93	0.79	0.74	43.94	2.01	"elnet"
500	1000	0.9	2	0.25	"0.91 ( 0 )"	"18.95 ( 1.93 )"	"0 ( 0 )"	23.95	0.6	0.91	18.95	0	"elnet"
1000	1000	0.9	1	0.29	"0.92 ( 0 )"	"15.24 ( 1.68 )"	"0 ( 0 )"	20.24	0.52	0.92	15.24	0	"elnet"
50	50	0.1	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.1	0.5	0.01	"1 ( 0 )"	"2.4 ( 0.16 )"	"5.3 ( 0.11 )"	3	0.78	1	2.4	5.3	"rf"
500	50	0.1	0.1	0.12	"1 ( 0 )"	"2.96 ( 0.21 )"	"4.29 ( 0.15 )"	4.63	0.62	1	2.96	4.29	"rf"
1000	50	0.1	0.05	0.33	"1 ( 0 )"	"3.28 ( 0.21 )"	"3.04 ( 0.12 )"	6.24	0.49	1	3.28	3.04	"rf"
50	100	0.1	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.1	1	0	"1 ( 0 )"	"5.09 ( 0.21 )"	"5.6 ( 0.09 )"	5.48	0.93	1	5.09	5.6	"rf"
500	100	0.1	0.2	0.1	"1 ( 0 )"	"5.39 ( 0.29 )"	"4.05 ( 0.16 )"	7.34	0.72	1	5.39	4.05	"rf"
