"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	100	"0.5"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.5"	1	0.02	"1 ( 0 )"	"4.57 ( 0.17 )"	"4.99 ( 0.08 )"	5.58	"0.82"	1	4.57	4.99
500	100	"0.5"	0.2	0.35	"1 ( 0 )"	"3.49 ( 0.17 )"	"2.37 ( 0.09 )"	7.12	"0.46"	1	3.49	2.37
1000	100	"0.5"	0.1	0.51	"1 ( 0 )"	"2.74 ( 0.15 )"	"1.23 ( 0.08 )"	7.51	"0.34"	1	2.74	1.23
50	500	"0.5"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.5"	5	0.01	"1 ( 0 )"	"23.18 ( 0.51 )"	"5.07 ( 0.08 )"	24.11	"0.96"	1	23.18	5.07
500	500	"0.5"	1	0.08	"1 ( 0 )"	"23.59 ( 0.47 )"	"2.72 ( 0.09 )"	26.87	"0.88"	1	23.59	2.72
1000	500	"0.5"	0.5	0.13	"1 ( 0 )"	"22.56 ( 0.46 )"	"1.56 ( 0.1 )"	27	"0.83"	1	22.56	1.56
50	1000	"0.5"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.5"	10	0	"1 ( 0 )"	"47.59 ( 0.62 )"	"5.2 ( 0.08 )"	48.39	"0.98"	1	47.59	5.2
500	1000	"0.5"	2	0.03	"1 ( 0 )"	"47.63 ( 0.72 )"	"3.12 ( 0.11 )"	50.51	"0.94"	1	47.63	3.12
1000	1000	"0.5"	1	0.06	"1 ( 0 )"	"48.12 ( 0.7 )"	"1.83 ( 0.08 )"	52.29	"0.92"	1	48.12	1.83
50	50	"0.7"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.7"	0.5	0.05	"1 ( 0 )"	"2.01 ( 0.13 )"	"5 ( 0.08 )"	2.99	"0.65"	1	2.01	5
500	50	"0.7"	0.1	0.53	"1 ( 0 )"	"1.29 ( 0.11 )"	"2.25 ( 0.08 )"	5.04	"0.23"	1	1.29	2.25
1000	50	"0.7"	0.05	0.63	"1 ( 0 )"	"1.29 ( 0.11 )"	"1.3 ( 0.08 )"	5.99	"0.19"	1	1.29	1.3
50	100	"0.7"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.7"	1	0.03	"1 ( 0 )"	"4.35 ( 0.18 )"	"4.98 ( 0.07 )"	5.37	"0.8"	1	4.35	4.98
500	100	"0.7"	0.2	0.34	"1 ( 0 )"	"3.46 ( 0.18 )"	"2.53 ( 0.09 )"	6.93	"0.47"	1	3.46	2.53
1000	100	"0.7"	0.1	0.48	"1 ( 0 )"	"3.04 ( 0.15 )"	"1.27 ( 0.08 )"	7.77	"0.37"	1	3.04	1.27
50	500	"0.7"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.7"	5	0.01	"1 ( 0 )"	"23.78 ( 0.44 )"	"4.93 ( 0.08 )"	24.85	"0.96"	1	23.78	4.93
500	500	"0.7"	1	0.08	"1 ( 0 )"	"23.14 ( 0.52 )"	"2.73 ( 0.09 )"	26.41	"0.87"	1	23.14	2.73
1000	500	"0.7"	0.5	0.13	"1 ( 0 )"	"21.58 ( 0.49 )"	"1.57 ( 0.08 )"	26.01	"0.82"	1	21.58	1.57
50	1000	"0.7"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.7"	10	0	"1 ( 0 )"	"47.84 ( 0.72 )"	"5 ( 0.09 )"	48.84	"0.98"	1	47.84	5
500	1000	"0.7"	2	0.04	"1 ( 0 )"	"47.31 ( 0.68 )"	"2.9 ( 0.1 )"	50.41	"0.94"	1	47.31	2.9
1000	1000	"0.7"	1	0.06	"1 ( 0 )"	"46.57 ( 0.73 )"	"1.71 ( 0.08 )"	50.86	"0.91"	1	46.57	1.71
