"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
500	100	"0.5"	0.2	0.27	"0.91 ( 0 )"	"14.93 ( 0.96 )"	"0 ( 0 )"	19.93	"0.64"	0.91	14.93	0
1000	100	"0.5"	0.1	0.38	"0.91 ( 0 )"	"10.11 ( 0.76 )"	"0 ( 0 )"	15.11	"0.52"	0.91	10.11	0
50	500	"0.5"	10	0.03	"0.69 ( 0.01 )"	"40.87 ( 5.37 )"	"3.42 ( 0.13 )"	42.45	"0.87"	0.69	40.87	3.42
100	500	"0.5"	5	0.09	"0.76 ( 0.01 )"	"22.4 ( 3.42 )"	"2.91 ( 0.1 )"	24.49	"0.72"	0.76	22.4	2.91
500	500	"0.5"	1	0.19	"0.89 ( 0 )"	"26.07 ( 1.56 )"	"0.01 ( 0.01 )"	31.06	"0.74"	0.89	26.07	0.01
1000	500	"0.5"	0.5	0.21	"0.91 ( 0 )"	"22.64 ( 1.75 )"	"0 ( 0 )"	27.64	"0.69"	0.91	22.64	0
50	1000	"0.5"	20	0.02	"0.66 ( 0.01 )"	"61.74 ( 7.68 )"	"3.7 ( 0.11 )"	63.04	"0.91"	0.66	61.74	3.7
100	1000	"0.5"	10	0.07	"0.75 ( 0.01 )"	"27.52 ( 4.1 )"	"3.1 ( 0.09 )"	29.42	"0.8"	0.75	27.52	3.1
500	1000	"0.5"	2	0.16	"0.89 ( 0 )"	"31.54 ( 2.49 )"	"0.05 ( 0.03 )"	36.49	"0.74"	0.89	31.54	0.05
1000	1000	"0.5"	1	0.17	"0.91 ( 0 )"	"29.65 ( 2.06 )"	"0 ( 0 )"	34.65	"0.75"	0.91	29.65	0
50	50	"0.7"	1	0.1	"0.75 ( 0.01 )"	"12.33 ( 0.98 )"	"2.23 ( 0.15 )"	15.1	"0.64"	0.75	12.33	2.23
100	50	"0.7"	0.5	0.18	"0.81 ( 0.01 )"	"11.18 ( 0.86 )"	"1.42 ( 0.12 )"	14.76	"0.59"	0.81	11.18	1.42
500	50	"0.7"	0.1	0.31	"0.89 ( 0 )"	"11.14 ( 0.74 )"	"0.02 ( 0.02 )"	16.12	"0.56"	0.89	11.14	0.02
1000	50	"0.7"	0.05	0.37	"0.89 ( 0 )"	"9.65 ( 0.77 )"	"0 ( 0 )"	14.65	"0.49"	0.89	9.65	0
50	100	"0.7"	2	0.08	"0.71 ( 0.01 )"	"17.76 ( 1.65 )"	"2.81 ( 0.14 )"	19.95	"0.74"	0.71	17.76	2.81
100	100	"0.7"	1	0.13	"0.79 ( 0.01 )"	"16.43 ( 1.31 )"	"1.79 ( 0.13 )"	19.64	"0.68"	0.79	16.43	1.79
