"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
50	50	0.1	1	0.36	"0.62 ( 0.04 )"	"8.59 ( 0.46 )"	"0.02 ( 0.01 )"	13.57	0.51	0.62	8.59	0.02	"lasso"
100	50	0.1	0.5	0.47	"0.37 ( 0.01 )"	"6.3 ( 0.43 )"	"0 ( 0 )"	11.3	0.4	0.37	6.3	0	"lasso"
500	50	0.1	0.1	0.73	"0.28 ( 0 )"	"2.88 ( 0.21 )"	"0 ( 0 )"	7.88	0.2	0.28	2.88	0	"lasso"
1000	50	0.1	0.05	0.89	"0.27 ( 0 )"	"1.66 ( 0.11 )"	"0 ( 0 )"	6.66	0.08	0.27	1.66	0	"lasso"
50	100	0.1	2	0.32	"0.67 ( 0.05 )"	"11.84 ( 0.4 )"	"0 ( 0 )"	16.84	0.62	0.67	11.8	0	"lasso"
100	100	0.1	1	0.44	"0.4 ( 0.01 )"	"7.71 ( 0.56 )"	"0 ( 0 )"	12.71	0.46	0.4	7.71	0	"lasso"
500	100	0.1	0.2	0.7	"0.27 ( 0 )"	"3.35 ( 0.22 )"	"0 ( 0 )"	8.35	0.23	0.27	3.35	0	"lasso"
1000	100	0.1	0.1	0.81	"0.27 ( 0 )"	"2.29 ( 0.23 )"	"0 ( 0 )"	7.29	0.13	0.27	2.29	0	"lasso"
50	500	0.1	10	0.18	"1.61 ( 0.1 )"	"20.85 ( 0.38 )"	"0.69 ( 0.08 )"	25.16	0.78	1.61	20.8	0.69	"lasso"
100	500	0.1	5	0.3	"0.53 ( 0.02 )"	"14.69 ( 0.7 )"	"0 ( 0 )"	19.69	0.66	0.53	14.6	0	"lasso"
500	500	0.1	1	0.55	"0.28 ( 0 )"	"5.86 ( 0.51 )"	"0 ( 0 )"	10.86	0.36	0.28	5.86	0	"lasso"
1000	500	0.1	0.5	0.78	"0.28 ( 0 )"	"2.69 ( 0.21 )"	"0 ( 0 )"	7.69	0.17	0.28	2.69	0	"lasso"
50	1000	0.1	20	0.13	"2.23 ( 0.14 )"	"24.37 ( 0.39 )"	"1.36 ( 0.1 )"	28.01	0.83	2.23	24.3	1.36	"lasso"
100	1000	0.1	10	0.25	"0.57 ( 0.03 )"	"18.79 ( 0.7 )"	"0 ( 0 )"	23.79	0.73	0.57	18.7	0	"lasso"
500	1000	0.1	2	0.49	"0.28 ( 0 )"	"7.08 ( 0.53 )"	"0 ( 0 )"	12.08	0.41	0.28	7.08	0	"lasso"
1000	1000	0.1	1	0.7	"0.27 ( 0 )"	"3.59 ( 0.33 )"	"0 ( 0 )"	8.59	0.23	0.27	3.59	0	"lasso"
50	50	0.3	1	0.35	"0.57 ( 0.03 )"	"8.86 ( 0.42 )"	"0.05 ( 0.02 )"	13.81	0.53	0.57	8.86	0.05	"lasso"
100	50	0.3	0.5	0.47	"0.36 ( 0.01 )"	"6.18 ( 0.36 )"	"0 ( 0 )"	11.18	0.41	0.36	6.18	0	"lasso"
500	50	0.3	0.1	0.7	"0.28 ( 0 )"	"3.14 ( 0.21 )"	"0 ( 0 )"	8.14	0.22	0.28	3.14	0	"lasso"
1000	50	0.3	0.05	0.86	"0.27 ( 0 )"	"1.86 ( 0.11 )"	"0 ( 0 )"	6.86	0.11	0.27	1.86	0	"lasso"
50	100	0.3	2	0.31	"0.76 ( 0.04 )"	"11.12 ( 0.37 )"	"0.17 ( 0.04 )"	15.95	0.62	0.76	11.1	0.17	"lasso"
100	100	0.3	1	0.38	"0.41 ( 0.01 )"	"9.43 ( 0.53 )"	"0 ( 0 )"	14.43	0.54	0.41	9.43	0	"lasso"
500	100	0.3	0.2	0.63	"0.27 ( 0 )"	"4.16 ( 0.27 )"	"0 ( 0 )"	9.16	0.29	0.27	4.16	0	"lasso"
1000	100	0.3	0.1	0.8	"0.27 ( 0 )"	"2.36 ( 0.17 )"	"0 ( 0 )"	7.36	0.15	0.27	2.36	0	"lasso"
50	500	0.3	10	0.14	"1.78 ( 0.11 )"	"21.4 ( 0.41 )"	"1.39 ( 0.1 )"	25.01	0.81	1.78	21.4	1.39	"lasso"
100	500	0.3	5	0.26	"0.53 ( 0.02 )"	"16.81 ( 0.77 )"	"0.02 ( 0.01 )"	21.79	0.7	0.53	16.8	0.02	"lasso"
500	500	0.3	1	0.55	"0.29 ( 0 )"	"5.89 ( 0.51 )"	"0 ( 0 )"	10.89	0.36	0.29	5.89	0	"lasso"
1000	500	0.3	0.5	0.69	"0.27 ( 0 )"	"3.68 ( 0.32 )"	"0 ( 0 )"	8.68	0.25	0.27	3.68	0	"lasso"
50	1000	0.3	20	0.11	"2.21 ( 0.15 )"	"25.14 ( 0.35 )"	"1.87 ( 0.1 )"	28.27	0.85	2.21	25.1	1.87	"lasso"
100	1000	0.3	10	0.22	"0.61 ( 0.03 )"	"21.11 ( 0.75 )"	"0.02 ( 0.01 )"	26.09	0.75	0.61	21.1	0.02	"lasso"
500	1000	0.3	2	0.47	"0.28 ( 0 )"	"7.69 ( 0.63 )"	"0 ( 0 )"	12.69	0.45	0.28	7.69	0	"lasso"
1000	1000	0.3	1	0.58	"0.27 ( 0 )"	"5.27 ( 0.46 )"	"0 ( 0 )"	10.27	0.33	0.27	5.27	0	"lasso"
50	50	0.5	1	0.35	"0.63 ( 0.04 )"	"8.51 ( 0.41 )"	"0.17 ( 0.04 )"	13.34	0.53	0.63	8.51	0.17	"lasso"
100	50	0.5	0.5	0.42	"0.37 ( 0.01 )"	"7.21 ( 0.33 )"	"0.01 ( 0.01 )"	12.2	0.47	0.37	7.21	0.01	"lasso"
500	50	0.5	0.1	0.66	"0.27 ( 0 )"	"3.64 ( 0.21 )"	"0 ( 0 )"	8.64	0.27	0.27	3.64	0	"lasso"
1000	50	0.5	0.05	0.78	"0.27 ( 0 )"	"2.46 ( 0.15 )"	"0 ( 0 )"	7.46	0.17	0.27	2.46	0	"lasso"
50	100	0.5	2	0.24	"0.8 ( 0.05 )"	"13.21 ( 0.46 )"	"0.6 ( 0.07 )"	17.61	0.68	0.8	13.2	0.6	"lasso"
100	100	0.5	1	0.36	"0.44 ( 0.02 )"	"10 ( 0.48 )"	"0.02 ( 0.01 )"	14.98	0.56	0.44	10	0.02	"lasso"
500	100	0.5	0.2	0.62	"0.29 ( 0 )"	"4.39 ( 0.28 )"	"0 ( 0 )"	9.39	0.31	0.29	4.39	0	"lasso"
1000	100	0.5	0.1	0.71	"0.27 ( 0 )"	"3.24 ( 0.22 )"	"0 ( 0 )"	8.24	0.23	0.27	3.24	0	"lasso"
50	500	0.5	10	0.12	"1.73 ( 0.1 )"	"21.69 ( 0.32 )"	"1.93 ( 0.09 )"	24.76	0.83	1.73	21.6	1.93	"lasso"
100	500	0.5	5	0.23	"0.62 ( 0.03 )"	"19.6 ( 0.76 )"	"0.16 ( 0.04 )"	24.44	0.74	0.62	19.6	0.16	"lasso"
500	500	0.5	1	0.4	"0.29 ( 0 )"	"9.79 ( 0.55 )"	"0 ( 0 )"	14.79	0.54	0.29	9.79	0	"lasso"
1000	500	0.5	0.5	0.51	"0.28 ( 0 )"	"6.66 ( 0.64 )"	"0 ( 0 )"	11.66	0.38	0.28	6.66	0	"lasso"
50	1000	0.5	20	0.09	"2.17 ( 0.13 )"	"25.13 ( 0.34 )"	"2.69 ( 0.1 )"	27.44	0.88	2.17	25.1	2.69	"lasso"
100	1000	0.5	10	0.19	"0.75 ( 0.03 )"	"23.22 ( 0.79 )"	"0.26 ( 0.05 )"	27.96	0.78	0.75	23.2	0.26	"lasso"
500	1000	0.5	2	0.39	"0.3 ( 0 )"	"10.46 ( 0.63 )"	"0 ( 0 )"	15.46	0.54	0.3	10.4	0	"lasso"
1000	1000	0.5	1	0.48	"0.28 ( 0 )"	"7.42 ( 0.6 )"	"0 ( 0 )"	12.42	0.42	0.28	7.42	0	"lasso"
50	50	0.7	1	0.3	"0.66 ( 0.04 )"	"9.27 ( 0.39 )"	"0.47 ( 0.06 )"	13.8	0.57	0.66	9.27	0.47	"lasso"
100	50	0.7	0.5	0.39	"0.37 ( 0.01 )"	"7.9 ( 0.35 )"	"0.05 ( 0.03 )"	12.85	0.5	0.37	7.9	0.05	"lasso"
500	50	0.7	0.1	0.6	"0.27 ( 0 )"	"4.38 ( 0.21 )"	"0 ( 0 )"	9.38	0.33	0.27	4.38	0	"lasso"
1000	50	0.7	0.05	0.74	"0.27 ( 0 )"	"2.84 ( 0.14 )"	"0 ( 0 )"	7.84	0.21	0.27	2.84	0	"lasso"
50	100	0.7	2	0.23	"0.8 ( 0.04 )"	"11.57 ( 0.53 )"	"1.26 ( 0.1 )"	15.31	0.66	0.8	11.5	1.26	"lasso"
100	100	0.7	1	0.31	"0.39 ( 0.01 )"	"11.68 ( 0.51 )"	"0.1 ( 0.04 )"	16.58	0.61	0.39	11.6	0.1	"lasso"
500	100	0.7	0.2	0.49	"0.28 ( 0 )"	"6.56 ( 0.32 )"	"0 ( 0 )"	11.56	0.44	0.28	6.56	0	"lasso"
1000	100	0.7	0.1	0.63	"0.27 ( 0 )"	"4.24 ( 0.26 )"	"0 ( 0 )"	9.24	0.3	0.27	4.24	0	"lasso"
50	500	0.7	10	0.12	"1.37 ( 0.08 )"	"19.8 ( 0.33 )"	"2.78 ( 0.08 )"	22.02	0.85	1.37	19.8	2.78	"lasso"
100	500	0.7	5	0.19	"0.62 ( 0.03 )"	"18.58 ( 0.85 )"	"0.88 ( 0.08 )"	22.7	0.75	0.62	18.5	0.88	"lasso"
500	500	0.7	1	0.36	"0.3 ( 0 )"	"11.31 ( 0.6 )"	"0 ( 0 )"	16.31	0.58	0.3	11.3	0	"lasso"
1000	500	0.7	0.5	0.46	"0.27 ( 0 )"	"7.93 ( 0.49 )"	"0 ( 0 )"	12.93	0.47	0.27	7.93	0	"lasso"
50	1000	0.7	20	0.09	"1.5 ( 0.08 )"	"22.99 ( 0.35 )"	"3.2 ( 0.09 )"	24.79	0.88	1.5	22.9	3.2	"lasso"
100	1000	0.7	10	0.14	"0.77 ( 0.04 )"	"22.43 ( 0.68 )"	"1.45 ( 0.1 )"	25.98	0.82	0.77	22.4	1.45	"lasso"
500	1000	0.7	2	0.3	"0.31 ( 0 )"	"14.7 ( 0.84 )"	"0 ( 0 )"	19.7	0.65	0.31	14.7	0	"lasso"
1000	1000	0.7	1	0.41	"0.28 ( 0 )"	"9.63 ( 0.54 )"	"0 ( 0 )"	14.63	0.53	0.28	9.63	0	"lasso"
50	50	0.9	1	0.31	"0.55 ( 0.03 )"	"5.65 ( 0.29 )"	"2.17 ( 0.13 )"	8.48	0.51	0.55	5.65	2.17	"lasso"
100	50	0.9	0.5	0.38	"0.38 ( 0.02 )"	"5.85 ( 0.3 )"	"1.03 ( 0.11 )"	9.82	0.45	0.38	5.85	1.03	"lasso"
500	50	0.9	0.1	0.61	"0.28 ( 0 )"	"4.34 ( 0.19 )"	"0.01 ( 0.01 )"	9.33	0.33	0.28	4.34	0.01	"lasso"
1000	50	0.9	0.05	0.76	"0.27 ( 0 )"	"2.71 ( 0.12 )"	"0 ( 0 )"	7.71	0.2	0.27	2.71	0	"lasso"
50	100	0.9	2	0.26	"0.6 ( 0.03 )"	"7.26 ( 0.35 )"	"2.69 ( 0.1 )"	9.57	0.62	0.6	7.26	2.69	"lasso"
100	100	0.9	1	0.31	"0.44 ( 0.01 )"	"7.79 ( 0.39 )"	"1.51 ( 0.11 )"	11.28	0.57	0.44	7.79	1.51	"lasso"
500	100	0.9	0.2	0.51	"0.29 ( 0 )"	"6.45 ( 0.27 )"	"0 ( 0 )"	11.45	0.45	0.29	6.45	0	"lasso"
1000	100	0.9	0.1	0.61	"0.27 ( 0 )"	"4.72 ( 0.21 )"	"0 ( 0 )"	9.72	0.35	0.27	4.72	0	"lasso"
50	500	0.9	10	0.13	"0.81 ( 0.04 )"	"13.78 ( 0.36 )"	"3.54 ( 0.08 )"	15.24	0.83	0.81	13.7	3.54	"lasso"
100	500	0.9	5	0.18	"0.54 ( 0.02 )"	"13.78 ( 0.72 )"	"2.58 ( 0.08 )"	16.2	0.76	0.54	13.7	2.58	"lasso"
500	500	0.9	1	0.25	"0.3 ( 0 )"	"18.18 ( 0.69 )"	"0.03 ( 0.02 )"	23.15	0.72	0.3	18.1	0.03	"lasso"
1000	500	0.9	0.5	0.33	"0.28 ( 0 )"	"12.68 ( 0.57 )"	"0 ( 0 )"	17.68	0.63	0.28	12.6	0	"lasso"
50	1000	0.9	20	0.08	"0.9 ( 0.05 )"	"18.15 ( 0.34 )"	"3.92 ( 0.08 )"	19.23	0.89	0.9	18.1	3.92	"lasso"
100	1000	0.9	10	0.16	"0.59 ( 0.02 )"	"15.99 ( 0.66 )"	"2.88 ( 0.06 )"	18.11	0.81	0.59	15.9	2.88	"lasso"
500	1000	0.9	2	0.2	"0.31 ( 0 )"	"24.62 ( 1.01 )"	"0.05 ( 0.02 )"	29.57	0.77	0.31	24.6	0.05	"lasso"
1000	1000	0.9	1	0.25	"0.28 ( 0 )"	"18.51 ( 0.86 )"	"0 ( 0 )"	23.51	0.71	0.28	18.5	0	"lasso"
50	50	0.1	1	0.21	"0.6 ( 0.03 )"	"14.72 ( 0.57 )"	"0.01 ( 0.01 )"	19.71	0.67	0.6	14.7	0.01	"elnet"
100	50	0.1	0.5	0.23	"0.34 ( 0.01 )"	"13.7 ( 0.66 )"	"0 ( 0 )"	18.7	0.64	0.34	13.7	0	"elnet"
500	50	0.1	0.1	0.23	"0.26 ( 0 )"	"13.59 ( 0.55 )"	"0 ( 0 )"	18.59	0.65	0.26	13.5	0	"elnet"
1000	50	0.1	0.05	0.25	"0.26 ( 0 )"	"12.64 ( 0.54 )"	"0 ( 0 )"	17.64	0.63	0.26	12.6	0	"elnet"
50	100	0.1	2	0.2	"0.69 ( 0.05 )"	"19.33 ( 0.67 )"	"0 ( 0 )"	24.33	0.73	0.69	19.3	0	"elnet"
100	100	0.1	1	0.22	"0.38 ( 0.01 )"	"17.77 ( 0.8 )"	"0 ( 0 )"	22.77	0.7	0.38	17.7	0	"elnet"
500	100	0.1	0.2	0.21	"0.26 ( 0 )"	"18.57 ( 0.83 )"	"0 ( 0 )"	23.57	0.71	0.26	18.5	0	"elnet"
1000	100	0.1	0.1	0.22	"0.26 ( 0 )"	"17.23 ( 0.72 )"	"0 ( 0 )"	22.23	0.7	0.26	17.2	0	"elnet"
50	500	0.1	10	0.13	"1.74 ( 0.11 )"	"29.67 ( 1.23 )"	"0.63 ( 0.07 )"	34.04	0.83	1.74	29.6	0.63	"elnet"
100	500	0.1	5	0.16	"0.51 ( 0.02 )"	"30.41 ( 1.35 )"	"0 ( 0 )"	35.41	0.81	0.51	30.4	0	"elnet"
500	500	0.1	1	0.16	"0.27 ( 0 )"	"29.38 ( 1.53 )"	"0 ( 0 )"	34.38	0.79	0.27	29.3	0	"elnet"
1000	500	0.1	0.5	0.18	"0.27 ( 0 )"	"26.73 ( 1.56 )"	"0 ( 0 )"	31.73	0.77	0.27	26.7	0	"elnet"
50	1000	0.1	20	0.09	"2.5 ( 0.16 )"	"39.01 ( 2.7 )"	"1.34 ( 0.1 )"	42.67	0.87	2.5	39	1.34	"elnet"
100	1000	0.1	10	0.13	"0.57 ( 0.03 )"	"39.81 ( 1.68 )"	"0 ( 0 )"	44.81	0.85	0.57	39.8	0	"elnet"
500	1000	0.1	2	0.14	"0.27 ( 0 )"	"37.88 ( 2.19 )"	"0 ( 0 )"	42.88	0.82	0.27	37.8	0	"elnet"
