"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
1000	50	0.9	0.05	0.87	"0.27 ( 0 )"	"1.76 ( 0.11 )"	"0 ( 0 )"	6.76	0.09	0.27	1.76	0	"lasso"
50	100	0.9	2	0.29	"0.87 ( 0.05 )"	"12.12 ( 0.37 )"	"0.17 ( 0.05 )"	16.95	0.64	0.87	12.1	0.17	"lasso"
100	100	0.9	1	0.4	"0.38 ( 0.01 )"	"8.72 ( 0.53 )"	"0 ( 0 )"	13.72	0.51	0.38	8.72	0	"lasso"
500	100	0.9	0.2	0.67	"0.27 ( 0 )"	"3.68 ( 0.28 )"	"0 ( 0 )"	8.68	0.25	0.27	3.68	0	"lasso"
1000	100	0.9	0.1	0.76	"0.27 ( 0 )"	"2.72 ( 0.23 )"	"0 ( 0 )"	7.72	0.17	0.27	2.72	0	"lasso"
50	500	0.9	10	0.14	"2.29 ( 0.15 )"	"23.7 ( 0.43 )"	"1.18 ( 0.11 )"	27.52	0.82	2.29	23.7	1.18	"lasso"
100	500	0.9	5	0.28	"0.51 ( 0.02 )"	"16.13 ( 0.62 )"	"0 ( 0 )"	21.13	0.69	0.51	16.1	0	"lasso"
500	500	0.9	1	0.5	"0.29 ( 0 )"	"6.87 ( 0.54 )"	"0 ( 0 )"	11.87	0.41	0.29	6.87	0	"lasso"
1000	500	0.9	0.5	0.71	"0.27 ( 0 )"	"3.37 ( 0.27 )"	"0 ( 0 )"	8.37	0.23	0.27	3.37	0	"lasso"
50	1000	0.9	20	0.11	"2.46 ( 0.16 )"	"25.37 ( 0.35 )"	"1.73 ( 0.12 )"	28.64	0.85	2.46	25.3	1.73	"lasso"
100	1000	0.9	10	0.22	"0.62 ( 0.03 )"	"21.43 ( 0.62 )"	"0 ( 0 )"	26.43	0.76	0.62	21.4	0	"lasso"
500	1000	0.9	2	0.46	"0.3 ( 0 )"	"7.99 ( 0.79 )"	"0 ( 0 )"	12.99	0.42	0.3	7.99	0	"lasso"
1000	1000	0.9	1	0.6	"0.28 ( 0 )"	"4.93 ( 0.43 )"	"0 ( 0 )"	9.93	0.31	0.28	4.93	0	"lasso"
50	50	0.1	1	0.02	"0.38 ( 0.02 )"	"10.9 ( 0.97 )"	"3.91 ( 0.15 )"	11.99	0.77	0.38	10.9	3.91	"elnet"
100	50	0.1	0.5	0.06	"0.34 ( 0.01 )"	"13.39 ( 1.06 )"	"2.45 ( 0.16 )"	15.94	0.68	0.34	13.3	2.45	"elnet"
500	50	0.1	0.1	0.13	"0.27 ( 0 )"	"19.21 ( 0.81 )"	"0.14 ( 0.04 )"	24.07	0.73	0.27	19.2	0.14	"elnet"
1000	50	0.1	0.05	0.15	"0.26 ( 0 )"	"18.76 ( 0.63 )"	"0.02 ( 0.01 )"	23.74	0.73	0.26	18.7	0.02	"elnet"
50	100	0.1	2	0.03	"0.41 ( 0.02 )"	"9.27 ( 0.76 )"	"4.63 ( 0.09 )"	9.64	0.82	0.41	9.27	4.63	"elnet"
100	100	0.1	1	0.07	"0.34 ( 0.01 )"	"10.1 ( 1.04 )"	"3.87 ( 0.13 )"	11.23	0.7	0.34	10.1	3.87	"elnet"
500	100	0.1	0.2	0.13	"0.29 ( 0 )"	"25.4 ( 0.81 )"	"0.41 ( 0.06 )"	29.99	0.8	0.29	25.4	0.41	"elnet"
1000	100	0.1	0.1	0.13	"0.27 ( 0 )"	"28.36 ( 0.94 )"	"0.06 ( 0.03 )"	33.3	0.81	0.27	28.3	0.06	"elnet"
50	500	0.1	10	0.01	"0.41 ( 0.02 )"	"30.9 ( 3.51 )"	"4.65 ( 0.13 )"	31.25	0.94	0.41	30.9	4.65	"elnet"
100	500	0.1	5	0.03	"0.36 ( 0.01 )"	"20.83 ( 2.77 )"	"4.43 ( 0.1 )"	21.4	0.87	0.36	20.8	4.43	"elnet"
500	500	0.1	1	0.08	"0.32 ( 0 )"	"29.71 ( 2.76 )"	"2.55 ( 0.12 )"	32.16	0.8	0.32	29.7	2.55	"elnet"
1000	500	0.1	0.5	0.07	"0.28 ( 0 )"	"61.47 ( 1.31 )"	"0.56 ( 0.07 )"	65.91	0.91	0.28	61.4	0.56	"elnet"
50	1000	0.1	20	0	"0.41 ( 0.02 )"	"38.1 ( 4.05 )"	"5.01 ( 0.11 )"	38.09	0.97	0.41	38.1	5.01	"elnet"
100	1000	0.1	10	0.02	"0.36 ( 0.01 )"	"35.49 ( 4.37 )"	"4.34 ( 0.14 )"	36.15	0.93	0.36	35.4	4.34	"elnet"
500	1000	0.1	2	0.1	"0.3 ( 0 )"	"20.28 ( 2.74 )"	"3.25 ( 0.08 )"	22.03	0.75	0.3	20.2	3.25	"elnet"
1000	1000	0.1	1	0.05	"0.29 ( 0 )"	"71.65 ( 3.47 )"	"1.5 ( 0.1 )"	75.15	0.9	0.29	71.6	1.5	"elnet"
50	50	0.3	1	0.17	"0.56 ( 0.03 )"	"15.98 ( 0.61 )"	"0.26 ( 0.05 )"	20.72	0.7	0.56	15.9	0.26	"elnet"
100	50	0.3	0.5	0.2	"0.34 ( 0.01 )"	"15.16 ( 0.6 )"	"0 ( 0 )"	20.16	0.68	0.34	15.1	0	"elnet"
500	50	0.3	0.1	0.19	"0.27 ( 0 )"	"15.78 ( 0.58 )"	"0 ( 0 )"	20.78	0.69	0.27	15.7	0	"elnet"
1000	50	0.3	0.05	0.22	"0.26 ( 0 )"	"14.34 ( 0.49 )"	"0 ( 0 )"	19.34	0.67	0.26	14.3	0	"elnet"
50	100	0.3	2	0.13	"0.81 ( 0.05 )"	"22.23 ( 1.04 )"	"0.7 ( 0.08 )"	26.53	0.78	0.81	22.2	0.7	"elnet"
100	100	0.3	1	0.16	"0.42 ( 0.02 )"	"23.17 ( 0.94 )"	"0.02 ( 0.01 )"	28.15	0.77	0.42	23.1	0.02	"elnet"
500	100	0.3	0.2	0.18	"0.27 ( 0 )"	"21.25 ( 0.84 )"	"0 ( 0 )"	26.25	0.74	0.27	21.2	0	"elnet"
1000	100	0.3	0.1	0.2	"0.26 ( 0 )"	"19.57 ( 0.81 )"	"0 ( 0 )"	24.57	0.73	0.26	19.5	0	"elnet"
50	500	0.3	10	0.05	"1.29 ( 0.07 )"	"43.56 ( 3.08 )"	"2.15 ( 0.13 )"	46.41	0.89	1.29	43.5	2.15	"elnet"
100	500	0.3	5	0.13	"0.54 ( 0.02 )"	"35.33 ( 1.21 )"	"0.19 ( 0.05 )"	40.14	0.84	0.54	35.3	0.19	"elnet"
500	500	0.3	1	0.14	"0.28 ( 0 )"	"35.68 ( 1.62 )"	"0 ( 0 )"	40.68	0.83	0.28	35.6	0	"elnet"
1000	500	0.3	0.5	0.14	"0.27 ( 0 )"	"36.15 ( 1.61 )"	"0 ( 0 )"	41.15	0.83	0.27	36.1	0	"elnet"
50	1000	0.3	20	0.03	"1.3 ( 0.07 )"	"61.12 ( 4.33 )"	"2.56 ( 0.12 )"	63.56	0.93	1.3	61.1	2.56	"elnet"
100	1000	0.3	10	0.1	"0.68 ( 0.03 )"	"41.5 ( 1.64 )"	"0.61 ( 0.08 )"	45.89	0.87	0.68	41.5	0.61	"elnet"
500	1000	0.3	2	0.11	"0.29 ( 0 )"	"46.27 ( 2.2 )"	"0 ( 0 )"	51.27	0.86	0.29	46.2	0	"elnet"
1000	1000	0.3	1	0.13	"0.27 ( 0 )"	"39.23 ( 2 )"	"0 ( 0 )"	44.23	0.83	0.27	39.2	0	"elnet"
50	50	0.5	1	0.19	"0.65 ( 0.05 )"	"15.43 ( 0.64 )"	"0.1 ( 0.04 )"	20.33	0.68	0.65	15.4	0.1	"elnet"
100	50	0.5	0.5	0.2	"0.34 ( 0.01 )"	"14.94 ( 0.61 )"	"0 ( 0 )"	19.94	0.67	0.34	14.9	0	"elnet"
500	50	0.5	0.1	0.2	"0.27 ( 0 )"	"15.76 ( 0.59 )"	"0 ( 0 )"	20.76	0.69	0.27	15.7	0	"elnet"
1000	50	0.5	0.05	0.25	"0.26 ( 0 )"	"12.73 ( 0.5 )"	"0 ( 0 )"	17.73	0.63	0.26	12.7	0	"elnet"
50	100	0.5	2	0.16	"0.8 ( 0.05 )"	"21.3 ( 0.83 )"	"0.3 ( 0.06 )"	26	0.76	0.8	21.3	0.3	"elnet"
100	100	0.5	1	0.18	"0.37 ( 0.01 )"	"21.74 ( 0.84 )"	"0 ( 0 )"	26.74	0.75	0.37	21.7	0	"elnet"
500	100	0.5	0.2	0.19	"0.27 ( 0 )"	"20.71 ( 0.8 )"	"0 ( 0 )"	25.71	0.74	0.27	20.7	0	"elnet"
1000	100	0.5	0.1	0.18	"0.26 ( 0 )"	"20.53 ( 0.72 )"	"0 ( 0 )"	25.53	0.75	0.26	20.5	0	"elnet"
50	500	0.5	10	0.08	"1.61 ( 0.1 )"	"36.33 ( 2.13 )"	"1.58 ( 0.11 )"	39.75	0.87	1.61	36.3	1.58	"elnet"
100	500	0.5	5	0.14	"0.53 ( 0.02 )"	"34.91 ( 1.29 )"	"0.02 ( 0.01 )"	39.89	0.83	0.53	34.9	0.02	"elnet"
500	500	0.5	1	0.15	"0.28 ( 0 )"	"32.67 ( 1.7 )"	"0 ( 0 )"	37.67	0.8	0.28	32.6	0	"elnet"
1000	500	0.5	0.5	0.14	"0.26 ( 0 )"	"33.71 ( 1.97 )"	"0 ( 0 )"	38.71	0.8	0.26	33.7	0	"elnet"
50	1000	0.5	20	0.04	"2 ( 0.1 )"	"52.83 ( 3.84 )"	"2.29 ( 0.1 )"	55.54	0.91	2	52.8	2.29	"elnet"
100	1000	0.5	10	0.11	"0.68 ( 0.03 )"	"43.94 ( 1.56 )"	"0.14 ( 0.03 )"	48.8	0.87	0.68	43.9	0.14	"elnet"
500	1000	0.5	2	0.14	"0.28 ( 0 )"	"37.63 ( 1.92 )"	"0 ( 0 )"	42.63	0.83	0.28	37.6	0	"elnet"
1000	1000	0.5	1	0.14	"0.27 ( 0 )"	"35.42 ( 1.84 )"	"0 ( 0 )"	40.42	0.82	0.27	35.4	0	"elnet"
50	50	0.7	1	0.18	"0.63 ( 0.04 )"	"16.71 ( 0.61 )"	"0.04 ( 0.02 )"	21.67	0.7	0.63	16.7	0.04	"elnet"
100	50	0.7	0.5	0.22	"0.33 ( 0.01 )"	"14.2 ( 0.55 )"	"0 ( 0 )"	19.2	0.66	0.33	14.2	0	"elnet"
500	50	0.7	0.1	0.22	"0.26 ( 0 )"	"13.96 ( 0.52 )"	"0 ( 0 )"	18.96	0.66	0.26	13.9	0	"elnet"
1000	50	0.7	0.05	0.25	"0.26 ( 0 )"	"12.77 ( 0.52 )"	"0 ( 0 )"	17.77	0.63	0.26	12.7	0	"elnet"
50	100	0.7	2	0.18	"0.86 ( 0.07 )"	"19.83 ( 0.86 )"	"0.11 ( 0.03 )"	24.72	0.74	0.86	19.8	0.11	"elnet"
100	100	0.7	1	0.17	"0.38 ( 0.01 )"	"22.59 ( 1.11 )"	"0 ( 0 )"	27.59	0.75	0.38	22.5	0	"elnet"
500	100	0.7	0.2	0.21	"0.28 ( 0 )"	"17.78 ( 0.8 )"	"0 ( 0 )"	22.78	0.7	0.28	17.7	0	"elnet"
1000	100	0.7	0.1	0.21	"0.26 ( 0 )"	"18.55 ( 0.87 )"	"0 ( 0 )"	23.55	0.71	0.26	18.5	0	"elnet"
50	500	0.7	10	0.1	"2.19 ( 0.14 )"	"33.13 ( 1.76 )"	"1.25 ( 0.11 )"	36.88	0.86	2.19	33.1	1.25	"elnet"
100	500	0.7	5	0.13	"0.51 ( 0.02 )"	"37.39 ( 1.42 )"	"0 ( 0 )"	42.39	0.84	0.51	37.3	0	"elnet"
500	500	0.7	1	0.16	"0.28 ( 0 )"	"30.18 ( 1.66 )"	"0 ( 0 )"	35.18	0.79	0.28	30.1	0	"elnet"
1000	500	0.7	0.5	0.15	"0.26 ( 0 )"	"33.3 ( 1.59 )"	"0 ( 0 )"	38.3	0.81	0.26	33.3	0	"elnet"
50	1000	0.7	20	0.06	"2.43 ( 0.14 )"	"41.11 ( 2.8 )"	"1.98 ( 0.11 )"	44.13	0.89	2.43	41.1	1.98	"elnet"
100	1000	0.7	10	0.12	"0.68 ( 0.03 )"	"42.68 ( 1.53 )"	"0.02 ( 0.01 )"	47.66	0.86	0.68	42.6	0.02	"elnet"
500	1000	0.7	2	0.12	"0.29 ( 0 )"	"42.75 ( 2.32 )"	"0 ( 0 )"	47.75	0.84	0.29	42.7	0	"elnet"
1000	1000	0.7	1	0.14	"0.27 ( 0 )"	"36.88 ( 2.33 )"	"0 ( 0 )"	41.88	0.81	0.27	36.8	0	"elnet"
50	50	0.9	1	0.21	"0.56 ( 0.03 )"	"14.5 ( 0.57 )"	"0.03 ( 0.02 )"	19.47	0.67	0.56	14.5	0.03	"elnet"
100	50	0.9	0.5	0.23	"0.33 ( 0.01 )"	"13.9 ( 0.6 )"	"0 ( 0 )"	18.9	0.65	0.33	13.9	0	"elnet"
500	50	0.9	0.1	0.25	"0.26 ( 0 )"	"12.75 ( 0.49 )"	"0 ( 0 )"	17.75	0.63	0.26	12.7	0	"elnet"
1000	50	0.9	0.05	0.25	"0.26 ( 0 )"	"12.64 ( 0.49 )"	"0 ( 0 )"	17.64	0.63	0.26	12.6	0	"elnet"
50	100	0.9	2	0.18	"0.75 ( 0.04 )"	"20.94 ( 0.7 )"	"0.07 ( 0.03 )"	25.87	0.75	0.75	20.9	0.07	"elnet"
100	100	0.9	1	0.18	"0.38 ( 0.01 )"	"20.8 ( 0.95 )"	"0 ( 0 )"	25.8	0.73	0.38	20.8	0	"elnet"
500	100	0.9	0.2	0.2	"0.26 ( 0 )"	"18.74 ( 0.84 )"	"0 ( 0 )"	23.74	0.72	0.26	18.7	0	"elnet"
1000	100	0.9	0.1	0.19	"0.26 ( 0 )"	"19.91 ( 0.91 )"	"0 ( 0 )"	24.91	0.72	0.26	19.9	0	"elnet"
50	500	0.9	10	0.1	"2.21 ( 0.15 )"	"35.26 ( 2.1 )"	"0.98 ( 0.09 )"	39.28	0.85	2.21	35.2	0.98	"elnet"
100	500	0.9	5	0.14	"0.5 ( 0.02 )"	"35.7 ( 1.48 )"	"0 ( 0 )"	40.7	0.83	0.5	35.7	0	"elnet"
500	500	0.9	1	0.15	"0.28 ( 0 )"	"32.6 ( 1.76 )"	"0 ( 0 )"	37.6	0.81	0.28	32.6	0	"elnet"
1000	500	0.9	0.5	0.16	"0.26 ( 0 )"	"30.4 ( 1.66 )"	"0 ( 0 )"	35.4	0.79	0.26	30.4	0	"elnet"
50	1000	0.9	20	0.07	"3.06 ( 0.18 )"	"43.09 ( 2.82 )"	"1.57 ( 0.1 )"	46.52	0.88	3.06	43	1.57	"elnet"
100	1000	0.9	10	0.12	"0.59 ( 0.03 )"	"43.91 ( 1.31 )"	"0 ( 0 )"	48.91	0.87	0.59	43.9	0	"elnet"
500	1000	0.9	2	0.12	"0.29 ( 0 )"	"41.57 ( 2.28 )"	"0 ( 0 )"	46.57	0.84	0.29	41.5	0	"elnet"
1000	1000	0.9	1	0.13	"0.27 ( 0 )"	"38.76 ( 2.16 )"	"0 ( 0 )"	43.76	0.82	0.27	38.7	0	"elnet"
50	50	0.1	1	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.08	0	6	"rf"
100	50	0.1	0.5	0.03	"0.07 ( 0 )"	"2.26 ( 0.17 )"	"5.06 ( 0.12 )"	3.04	0.7	0.07	2.26	5.06	"rf"
500	50	0.1	0.1	0.23	"0.05 ( 0 )"	"2.34 ( 0.16 )"	"3.77 ( 0.14 )"	4.56	0.49	0.05	2.34	3.77	"rf"
1000	50	0.1	0.05	0.51	"0.05 ( 0 )"	"2.37 ( 0.16 )"	"2.54 ( 0.11 )"	5.83	0.38	0.05	2.37	2.54	"rf"
50	100	0.1	2	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.08	0	6	"rf"
100	100	0.1	1	0.01	"0.07 ( 0 )"	"4.76 ( 0.27 )"	"5.51 ( 0.09 )"	5.24	0.91	0.07	4.76	5.51	"rf"
500	100	0.1	0.2	0.22	"0.05 ( 0 )"	"4.86 ( 0.25 )"	"3.36 ( 0.15 )"	7.5	0.63	0.05	4.86	3.36	"rf"
1000	100	0.1	0.1	0.52	"0.05 ( 0 )"	"4.65 ( 0.2 )"	"1.99 ( 0.13 )"	8.66	0.52	0.05	4.65	1.99	"rf"
50	500	0.1	10	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.08	0	6	"rf"
