"N"	"P"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
100	1000	10	0.01	"1.06 ( 0.03 )"	"48.48 ( 0.63 )"	"4.33 ( 0.1 )"	50.15	0.97	1.06	48.4	4.33	"rf"
500	1000	2	0.06	"0.89 ( 0.01 )"	"44.77 ( 0.71 )"	"1.81 ( 0.1 )"	48.96	0.91	0.89	44.7	1.81	"rf"
1000	1000	1	0.09	"0.85 ( 0.01 )"	"41.77 ( 0.68 )"	"0.99 ( 0.07 )"	46.78	0.89	0.85	41.7	0.99	"rf"
50	50	1	0.61	"0.8 ( 0.05 )"	"2.99 ( 0.27 )"	"0.05 ( 0.02 )"	8.94	0.28	0.8	2.99	0.05	"compLasso"
100	50	0.5	0.87	"0.98 ( 0.06 )"	"0.79 ( 0.15 )"	"0 ( 0 )"	6.79	0.09	0.98	0.79	0	"compLasso"
500	50	0.1	0.91	"1.08 ( 0.05 )"	"0.51 ( 0.11 )"	"0 ( 0 )"	6.51	0.06	1.08	0.51	0	"compLasso"
1000	50	0.05	0.93	"1.18 ( 0.04 )"	"0.39 ( 0.15 )"	"0 ( 0 )"	6.39	0.04	1.18	0.39	0	"compLasso"
50	100	2	0.52	"1.05 ( 0.07 )"	"4.3 ( 0.31 )"	"0.24 ( 0.05 )"	10.06	0.37	1.05	4.3	0.24	"compLasso"
100	100	1	0.85	"0.94 ( 0.04 )"	"1.02 ( 0.19 )"	"0 ( 0 )"	7.02	0.11	0.94	1.02	0	"compLasso"
500	100	0.2	0.96	"1.16 ( 0.04 )"	"0.25 ( 0.09 )"	"0 ( 0 )"	6.25	0.03	1.16	0.25	0	"compLasso"
1000	100	0.1	0.89	"1.04 ( 0.05 )"	"0.71 ( 0.15 )"	"0 ( 0 )"	6.71	0.08	1.04	0.71	0	"compLasso"
50	500	10	0.38	"2.18 ( 0.13 )"	"5.53 ( 0.36 )"	"1.27 ( 0.11 )"	10.26	0.48	2.18	5.53	1.27	"compLasso"
100	500	5	0.75	"1 ( 0.05 )"	"1.9 ( 0.29 )"	"0.03 ( 0.02 )"	7.87	0.18	1	1.9	0.03	"compLasso"
500	500	1	0.96	"1.18 ( 0.04 )"	"0.27 ( 0.13 )"	"0 ( 0 )"	6.27	0.03	1.18	0.27	0	"compLasso"
1000	500	0.5	0.96	"1.24 ( 0.04 )"	"0.25 ( 0.1 )"	"0 ( 0 )"	6.25	0.03	1.24	0.25	0	"compLasso"
50	1000	20	0.32	"3.09 ( 0.23 )"	"5.56 ( 0.36 )"	"1.95 ( 0.14 )"	9.61	0.51	3.09	5.56	1.95	"compLasso"
100	1000	10	0.67	"1.1 ( 0.07 )"	"2.8 ( 0.37 )"	"0.04 ( 0.02 )"	8.76	0.24	1.1	2.8	0.04	"compLasso"
500	1000	2	0.96	"1.12 ( 0.04 )"	"0.27 ( 0.08 )"	"0 ( 0 )"	6.27	0.03	1.12	0.27	0	"compLasso"
1000	1000	1	0.96	"1.16 ( 0.04 )"	"0.24 ( 0.07 )"	"0 ( 0 )"	6.24	0.03	1.16	0.24	0	"compLasso"
