"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
500	100	"0.5"	0.2	0.19	"0.27 ( 0 )"	"20.71 ( 0.8 )"	"0 ( 0 )"	25.71	"0.74"	0.27	20.7	0
1000	100	"0.5"	0.1	0.18	"0.26 ( 0 )"	"20.53 ( 0.72 )"	"0 ( 0 )"	25.53	"0.75"	0.26	20.5	0
50	500	"0.5"	10	0.08	"1.61 ( 0.1 )"	"36.33 ( 2.13 )"	"1.58 ( 0.11 )"	39.75	"0.87"	1.61	36.3	1.58
100	500	"0.5"	5	0.14	"0.53 ( 0.02 )"	"34.91 ( 1.29 )"	"0.02 ( 0.01 )"	39.89	"0.83"	0.53	34.9	0.02
500	500	"0.5"	1	0.15	"0.28 ( 0 )"	"32.67 ( 1.7 )"	"0 ( 0 )"	37.67	"0.8"	0.28	32.6	0
1000	500	"0.5"	0.5	0.14	"0.26 ( 0 )"	"33.71 ( 1.97 )"	"0 ( 0 )"	38.71	"0.8"	0.26	33.7	0
50	1000	"0.5"	20	0.04	"2 ( 0.1 )"	"52.83 ( 3.84 )"	"2.29 ( 0.1 )"	55.54	"0.91"	2	52.8	2.29
100	1000	"0.5"	10	0.11	"0.68 ( 0.03 )"	"43.94 ( 1.56 )"	"0.14 ( 0.03 )"	48.8	"0.87"	0.68	43.9	0.14
500	1000	"0.5"	2	0.14	"0.28 ( 0 )"	"37.63 ( 1.92 )"	"0 ( 0 )"	42.63	"0.83"	0.28	37.6	0
1000	1000	"0.5"	1	0.14	"0.27 ( 0 )"	"35.42 ( 1.84 )"	"0 ( 0 )"	40.42	"0.82"	0.27	35.4	0
50	50	"0.7"	1	0.18	"0.63 ( 0.04 )"	"16.71 ( 0.61 )"	"0.04 ( 0.02 )"	21.67	"0.7"	0.63	16.7	0.04
100	50	"0.7"	0.5	0.22	"0.33 ( 0.01 )"	"14.2 ( 0.55 )"	"0 ( 0 )"	19.2	"0.66"	0.33	14.2	0
500	50	"0.7"	0.1	0.22	"0.26 ( 0 )"	"13.96 ( 0.52 )"	"0 ( 0 )"	18.96	"0.66"	0.26	13.9	0
1000	50	"0.7"	0.05	0.25	"0.26 ( 0 )"	"12.77 ( 0.52 )"	"0 ( 0 )"	17.77	"0.63"	0.26	12.7	0
50	100	"0.7"	2	0.18	"0.86 ( 0.07 )"	"19.83 ( 0.86 )"	"0.11 ( 0.03 )"	24.72	"0.74"	0.86	19.8	0.11
100	100	"0.7"	1	0.17	"0.38 ( 0.01 )"	"22.59 ( 1.11 )"	"0 ( 0 )"	27.59	"0.75"	0.38	22.5	0
500	100	"0.7"	0.2	0.21	"0.28 ( 0 )"	"17.78 ( 0.8 )"	"0 ( 0 )"	22.78	"0.7"	0.28	17.7	0
1000	100	"0.7"	0.1	0.21	"0.26 ( 0 )"	"18.55 ( 0.87 )"	"0 ( 0 )"	23.55	"0.71"	0.26	18.5	0
50	500	"0.7"	10	0.1	"2.19 ( 0.14 )"	"33.13 ( 1.76 )"	"1.25 ( 0.11 )"	36.88	"0.86"	2.19	33.1	1.25
100	500	"0.7"	5	0.13	"0.51 ( 0.02 )"	"37.39 ( 1.42 )"	"0 ( 0 )"	42.39	"0.84"	0.51	37.3	0
500	500	"0.7"	1	0.16	"0.28 ( 0 )"	"30.18 ( 1.66 )"	"0 ( 0 )"	35.18	"0.79"	0.28	30.1	0
1000	500	"0.7"	0.5	0.15	"0.26 ( 0 )"	"33.3 ( 1.59 )"	"0 ( 0 )"	38.3	"0.81"	0.26	33.3	0
50	1000	"0.7"	20	0.06	"2.43 ( 0.14 )"	"41.11 ( 2.8 )"	"1.98 ( 0.11 )"	44.13	"0.89"	2.43	41.1	1.98
100	1000	"0.7"	10	0.12	"0.68 ( 0.03 )"	"42.68 ( 1.53 )"	"0.02 ( 0.01 )"	47.66	"0.86"	0.68	42.6	0.02
500	1000	"0.7"	2	0.12	"0.29 ( 0 )"	"42.75 ( 2.32 )"	"0 ( 0 )"	47.75	"0.84"	0.29	42.7	0
1000	1000	"0.7"	1	0.14	"0.27 ( 0 )"	"36.88 ( 2.33 )"	"0 ( 0 )"	41.88	"0.81"	0.27	36.8	0
50	50	"0.9"	1	0.21	"0.56 ( 0.03 )"	"14.5 ( 0.57 )"	"0.03 ( 0.02 )"	19.47	"0.67"	0.56	14.5	0.03
100	50	"0.9"	0.5	0.23	"0.33 ( 0.01 )"	"13.9 ( 0.6 )"	"0 ( 0 )"	18.9	"0.65"	0.33	13.9	0
500	50	"0.9"	0.1	0.25	"0.26 ( 0 )"	"12.75 ( 0.49 )"	"0 ( 0 )"	17.75	"0.63"	0.26	12.7	0
1000	50	"0.9"	0.05	0.25	"0.26 ( 0 )"	"12.64 ( 0.49 )"	"0 ( 0 )"	17.64	"0.63"	0.26	12.6	0
50	100	"0.9"	2	0.18	"0.75 ( 0.04 )"	"20.94 ( 0.7 )"	"0.07 ( 0.03 )"	25.87	"0.75"	0.75	20.9	0.07
100	100	"0.9"	1	0.18	"0.38 ( 0.01 )"	"20.8 ( 0.95 )"	"0 ( 0 )"	25.8	"0.73"	0.38	20.8	0
500	100	"0.9"	0.2	0.2	"0.26 ( 0 )"	"18.74 ( 0.84 )"	"0 ( 0 )"	23.74	"0.72"	0.26	18.7	0
1000	100	"0.9"	0.1	0.19	"0.26 ( 0 )"	"19.91 ( 0.91 )"	"0 ( 0 )"	24.91	"0.72"	0.26	19.9	0
50	500	"0.9"	10	0.1	"2.21 ( 0.15 )"	"35.26 ( 2.1 )"	"0.98 ( 0.09 )"	39.28	"0.85"	2.21	35.2	0.98
100	500	"0.9"	5	0.14	"0.5 ( 0.02 )"	"35.7 ( 1.48 )"	"0 ( 0 )"	40.7	"0.83"	0.5	35.7	0
500	500	"0.9"	1	0.15	"0.28 ( 0 )"	"32.6 ( 1.76 )"	"0 ( 0 )"	37.6	"0.81"	0.28	32.6	0
1000	500	"0.9"	0.5	0.16	"0.26 ( 0 )"	"30.4 ( 1.66 )"	"0 ( 0 )"	35.4	"0.79"	0.26	30.4	0
50	1000	"0.9"	20	0.07	"3.06 ( 0.18 )"	"43.09 ( 2.82 )"	"1.57 ( 0.1 )"	46.52	"0.88"	3.06	43	1.57
100	1000	"0.9"	10	0.12	"0.59 ( 0.03 )"	"43.91 ( 1.31 )"	"0 ( 0 )"	48.91	"0.87"	0.59	43.9	0
500	1000	"0.9"	2	0.12	"0.29 ( 0 )"	"41.57 ( 2.28 )"	"0 ( 0 )"	46.57	"0.84"	0.29	41.5	0
1000	1000	"0.9"	1	0.13	"0.27 ( 0 )"	"38.76 ( 2.16 )"	"0 ( 0 )"	43.76	"0.82"	0.27	38.7	0
