"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.36	"0.62 ( 0.04 )"	"8.59 ( 0.46 )"	"0.02 ( 0.01 )"	13.57	"0.51"	0.62	8.59	0.02
100	50	"0.1"	0.5	0.47	"0.37 ( 0.01 )"	"6.3 ( 0.43 )"	"0 ( 0 )"	11.3	"0.4"	0.37	6.3	0
500	50	"0.1"	0.1	0.73	"0.28 ( 0 )"	"2.88 ( 0.21 )"	"0 ( 0 )"	7.88	"0.2"	0.28	2.88	0
1000	50	"0.1"	0.05	0.89	"0.27 ( 0 )"	"1.66 ( 0.11 )"	"0 ( 0 )"	6.66	"0.08"	0.27	1.66	0
50	100	"0.1"	2	0.32	"0.67 ( 0.05 )"	"11.84 ( 0.4 )"	"0 ( 0 )"	16.84	"0.62"	0.67	11.8	0
100	100	"0.1"	1	0.44	"0.4 ( 0.01 )"	"7.71 ( 0.56 )"	"0 ( 0 )"	12.71	"0.46"	0.4	7.71	0
500	100	"0.1"	0.2	0.7	"0.27 ( 0 )"	"3.35 ( 0.22 )"	"0 ( 0 )"	8.35	"0.23"	0.27	3.35	0
1000	100	"0.1"	0.1	0.81	"0.27 ( 0 )"	"2.29 ( 0.23 )"	"0 ( 0 )"	7.29	"0.13"	0.27	2.29	0
50	500	"0.1"	10	0.18	"1.61 ( 0.1 )"	"20.85 ( 0.38 )"	"0.69 ( 0.08 )"	25.16	"0.78"	1.61	20.8	0.69
100	500	"0.1"	5	0.3	"0.53 ( 0.02 )"	"14.69 ( 0.7 )"	"0 ( 0 )"	19.69	"0.66"	0.53	14.6	0
500	500	"0.1"	1	0.55	"0.28 ( 0 )"	"5.86 ( 0.51 )"	"0 ( 0 )"	10.86	"0.36"	0.28	5.86	0
1000	500	"0.1"	0.5	0.78	"0.28 ( 0 )"	"2.69 ( 0.21 )"	"0 ( 0 )"	7.69	"0.17"	0.28	2.69	0
50	1000	"0.1"	20	0.13	"2.23 ( 0.14 )"	"24.37 ( 0.39 )"	"1.36 ( 0.1 )"	28.01	"0.83"	2.23	24.3	1.36
100	1000	"0.1"	10	0.25	"0.57 ( 0.03 )"	"18.79 ( 0.7 )"	"0 ( 0 )"	23.79	"0.73"	0.57	18.7	0
500	1000	"0.1"	2	0.49	"0.28 ( 0 )"	"7.08 ( 0.53 )"	"0 ( 0 )"	12.08	"0.41"	0.28	7.08	0
1000	1000	"0.1"	1	0.7	"0.27 ( 0 )"	"3.59 ( 0.33 )"	"0 ( 0 )"	8.59	"0.23"	0.27	3.59	0
50	50	"0.3"	1	0.35	"0.57 ( 0.03 )"	"8.86 ( 0.42 )"	"0.05 ( 0.02 )"	13.81	"0.53"	0.57	8.86	0.05
100	50	"0.3"	0.5	0.47	"0.36 ( 0.01 )"	"6.18 ( 0.36 )"	"0 ( 0 )"	11.18	"0.41"	0.36	6.18	0
500	50	"0.3"	0.1	0.7	"0.28 ( 0 )"	"3.14 ( 0.21 )"	"0 ( 0 )"	8.14	"0.22"	0.28	3.14	0
1000	50	"0.3"	0.05	0.86	"0.27 ( 0 )"	"1.86 ( 0.11 )"	"0 ( 0 )"	6.86	"0.11"	0.27	1.86	0
50	100	"0.3"	2	0.31	"0.76 ( 0.04 )"	"11.12 ( 0.37 )"	"0.17 ( 0.04 )"	15.95	"0.62"	0.76	11.1	0.17
100	100	"0.3"	1	0.38	"0.41 ( 0.01 )"	"9.43 ( 0.53 )"	"0 ( 0 )"	14.43	"0.54"	0.41	9.43	0
500	100	"0.3"	0.2	0.63	"0.27 ( 0 )"	"4.16 ( 0.27 )"	"0 ( 0 )"	9.16	"0.29"	0.27	4.16	0
1000	100	"0.3"	0.1	0.8	"0.27 ( 0 )"	"2.36 ( 0.17 )"	"0 ( 0 )"	7.36	"0.15"	0.27	2.36	0
50	500	"0.3"	10	0.14	"1.78 ( 0.11 )"	"21.4 ( 0.41 )"	"1.39 ( 0.1 )"	25.01	"0.81"	1.78	21.4	1.39
100	500	"0.3"	5	0.26	"0.53 ( 0.02 )"	"16.81 ( 0.77 )"	"0.02 ( 0.01 )"	21.79	"0.7"	0.53	16.8	0.02
500	500	"0.3"	1	0.55	"0.29 ( 0 )"	"5.89 ( 0.51 )"	"0 ( 0 )"	10.89	"0.36"	0.29	5.89	0
1000	500	"0.3"	0.5	0.69	"0.27 ( 0 )"	"3.68 ( 0.32 )"	"0 ( 0 )"	8.68	"0.25"	0.27	3.68	0
50	1000	"0.3"	20	0.11	"2.21 ( 0.15 )"	"25.14 ( 0.35 )"	"1.87 ( 0.1 )"	28.27	"0.85"	2.21	25.1	1.87
100	1000	"0.3"	10	0.22	"0.61 ( 0.03 )"	"21.11 ( 0.75 )"	"0.02 ( 0.01 )"	26.09	"0.75"	0.61	21.1	0.02
500	1000	"0.3"	2	0.47	"0.28 ( 0 )"	"7.69 ( 0.63 )"	"0 ( 0 )"	12.69	"0.45"	0.28	7.69	0
1000	1000	"0.3"	1	0.58	"0.27 ( 0 )"	"5.27 ( 0.46 )"	"0 ( 0 )"	10.27	"0.33"	0.27	5.27	0
50	50	"0.5"	1	0.35	"0.63 ( 0.04 )"	"8.51 ( 0.41 )"	"0.17 ( 0.04 )"	13.34	"0.53"	0.63	8.51	0.17
100	50	"0.5"	0.5	0.42	"0.37 ( 0.01 )"	"7.21 ( 0.33 )"	"0.01 ( 0.01 )"	12.2	"0.47"	0.37	7.21	0.01
500	50	"0.5"	0.1	0.66	"0.27 ( 0 )"	"3.64 ( 0.21 )"	"0 ( 0 )"	8.64	"0.27"	0.27	3.64	0
1000	50	"0.5"	0.05	0.78	"0.27 ( 0 )"	"2.46 ( 0.15 )"	"0 ( 0 )"	7.46	"0.17"	0.27	2.46	0
50	100	"0.5"	2	0.24	"0.8 ( 0.05 )"	"13.21 ( 0.46 )"	"0.6 ( 0.07 )"	17.61	"0.68"	0.8	13.2	0.6
100	100	"0.5"	1	0.36	"0.44 ( 0.02 )"	"10 ( 0.48 )"	"0.02 ( 0.01 )"	14.98	"0.56"	0.44	10	0.02
500	100	"0.5"	0.2	0.62	"0.29 ( 0 )"	"4.39 ( 0.28 )"	"0 ( 0 )"	9.39	"0.31"	0.29	4.39	0
1000	100	"0.5"	0.1	0.71	"0.27 ( 0 )"	"3.24 ( 0.22 )"	"0 ( 0 )"	8.24	"0.23"	0.27	3.24	0
50	500	"0.5"	10	0.12	"1.73 ( 0.1 )"	"21.69 ( 0.32 )"	"1.93 ( 0.09 )"	24.76	"0.83"	1.73	21.6	1.93
100	500	"0.5"	5	0.23	"0.62 ( 0.03 )"	"19.6 ( 0.76 )"	"0.16 ( 0.04 )"	24.44	"0.74"	0.62	19.6	0.16
500	500	"0.5"	1	0.4	"0.29 ( 0 )"	"9.79 ( 0.55 )"	"0 ( 0 )"	14.79	"0.54"	0.29	9.79	0
1000	500	"0.5"	0.5	0.51	"0.28 ( 0 )"	"6.66 ( 0.64 )"	"0 ( 0 )"	11.66	"0.38"	0.28	6.66	0
50	1000	"0.5"	20	0.09	"2.17 ( 0.13 )"	"25.13 ( 0.34 )"	"2.69 ( 0.1 )"	27.44	"0.88"	2.17	25.1	2.69
100	1000	"0.5"	10	0.19	"0.75 ( 0.03 )"	"23.22 ( 0.79 )"	"0.26 ( 0.05 )"	27.96	"0.78"	0.75	23.2	0.26
500	1000	"0.5"	2	0.39	"0.3 ( 0 )"	"10.46 ( 0.63 )"	"0 ( 0 )"	15.46	"0.54"	0.3	10.4	0
1000	1000	"0.5"	1	0.48	"0.28 ( 0 )"	"7.42 ( 0.6 )"	"0 ( 0 )"	12.42	"0.42"	0.28	7.42	0
50	50	"0.7"	1	0.3	"0.66 ( 0.04 )"	"9.27 ( 0.39 )"	"0.47 ( 0.06 )"	13.8	"0.57"	0.66	9.27	0.47
100	50	"0.7"	0.5	0.39	"0.37 ( 0.01 )"	"7.9 ( 0.35 )"	"0.05 ( 0.03 )"	12.85	"0.5"	0.37	7.9	0.05
