"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"OOB"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"OOB_mean"
50	50	"0.5"	1	0	"0.6 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	"1.46 ( 0.01 )"	0	"NaN"	0.6	1	6	1.46
100	50	"0.5"	0.5	0.09	"0.42 ( 0.01 )"	"1.75 ( 0.14 )"	"4.6 ( 0.09 )"	"1.33 ( 0.01 )"	3.15	"0.5"	0.42	1.75	4.6	1.33
500	50	"0.5"	0.1	0.71	"0.26 ( 0 )"	"0.56 ( 0.07 )"	"1.57 ( 0.08 )"	"1.02 ( 0 )"	4.99	"0.1"	0.26	0.56	1.57	1.02
1000	50	"0.5"	0.05	0.85	"0.2 ( 0 )"	"0.24 ( 0.05 )"	"0.73 ( 0.07 )"	"0.93 ( 0 )"	5.51	"0.04"	0.2	0.24	0.73	0.93
50	100	"0.5"	2	0	"0.6 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	"1.56 ( 0.01 )"	0	"NaN"	0.6	1	6	1.56
100	100	"0.5"	1	0.06	"0.47 ( 0.02 )"	"4.15 ( 0.17 )"	"4.61 ( 0.09 )"	"1.45 ( 0.01 )"	5.54	"0.74"	0.47	4.15	4.61	1.45
500	100	"0.5"	0.2	0.52	"0.32 ( 0 )"	"2.32 ( 0.14 )"	"1.5 ( 0.09 )"	"1.16 ( 0 )"	6.82	"0.32"	0.32	2.32	1.5	1.16
1000	100	"0.5"	0.1	0.73	"0.26 ( 0 )"	"1.21 ( 0.1 )"	"0.6 ( 0.07 )"	"1.06 ( 0 )"	6.61	"0.17"	0.26	1.21	0.6	1.06
50	500	"0.5"	10	0	"0.58 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	"1.64 ( 0.02 )"	0	"NaN"	0.58	1	6	1.64
100	500	"0.5"	5	0.01	"0.46 ( 0.01 )"	"24.25 ( 0.46 )"	"4.96 ( 0.09 )"	"1.6 ( 0.01 )"	25.29	"0.96"	0.46	24.2	4.96	1.6
500	500	"0.5"	1	0.11	"0.41 ( 0 )"	"21.23 ( 0.42 )"	"2.01 ( 0.1 )"	"1.49 ( 0 )"	25.22	"0.84"	0.41	21.2	2.01	1.49
1000	500	"0.5"	0.5	0.17	"0.37 ( 0 )"	"18.91 ( 0.41 )"	"0.96 ( 0.07 )"	"1.44 ( 0 )"	23.95	"0.78"	0.37	18.9	0.96	1.44
50	1000	"0.5"	20	0	"0.57 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	"1.64 ( 0.02 )"	0	"NaN"	0.57	1	6	1.64
100	1000	"0.5"	10	0	"0.47 ( 0.01 )"	"49.88 ( 0.68 )"	"5.13 ( 0.08 )"	"1.62 ( 0.01 )"	50.75	"0.98"	0.47	49.8	5.13	1.62
500	1000	"0.5"	2	0.05	"0.42 ( 0 )"	"45.98 ( 0.68 )"	"2.22 ( 0.09 )"	"1.57 ( 0 )"	49.76	"0.92"	0.42	45.9	2.22	1.57
1000	1000	"0.5"	1	0.08	"0.4 ( 0 )"	"44.42 ( 0.63 )"	"1.13 ( 0.07 )"	"1.53 ( 0 )"	49.29	"0.9"	0.4	44.4	1.13	1.53
50	50	"0.7"	1	0	"0.8 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"1.72 ( 0.02 )"	0	"NaN"	0.8	1	6	1.72
100	50	"0.7"	0.5	0.11	"0.59 ( 0.02 )"	"1.85 ( 0.14 )"	"4.52 ( 0.08 )"	"1.57 ( 0.01 )"	3.32	"0.51"	0.59	1.85	4.52	1.57
500	50	"0.7"	0.1	0.71	"0.35 ( 0 )"	"0.51 ( 0.07 )"	"1.72 ( 0.09 )"	"1.17 ( 0 )"	4.79	"0.1"	0.35	0.51	1.72	1.17
1000	50	"0.7"	0.05	0.87	"0.27 ( 0 )"	"0.18 ( 0.05 )"	"0.72 ( 0.07 )"	"1.06 ( 0 )"	5.46	"0.03"	0.27	0.18	0.72	1.06
50	100	"0.7"	2	0	"0.92 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"1.85 ( 0.02 )"	0	"NaN"	0.92	1	6	1.85
100	100	"0.7"	1	0.05	"0.63 ( 0.02 )"	"4.69 ( 0.18 )"	"4.65 ( 0.09 )"	"1.7 ( 0.01 )"	6.04	"0.77"	0.63	4.69	4.65	1.7
500	100	"0.7"	0.2	0.53	"0.43 ( 0 )"	"2.27 ( 0.15 )"	"1.46 ( 0.09 )"	"1.36 ( 0 )"	6.81	"0.31"	0.43	2.27	1.46	1.36
1000	100	"0.7"	0.1	0.71	"0.35 ( 0 )"	"1.47 ( 0.13 )"	"0.63 ( 0.06 )"	"1.22 ( 0 )"	6.84	"0.19"	0.35	1.47	0.63	1.22
50	500	"0.7"	10	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"2 ( 0.02 )"	0	"NaN"	0.91	1	6	2
100	500	"0.7"	5	0.01	"0.69 ( 0.02 )"	"24.52 ( 0.45 )"	"4.6 ( 0.09 )"	"1.93 ( 0.01 )"	25.92	"0.95"	0.69	24.5	4.6	1.93
500	500	"0.7"	1	0.12	"0.57 ( 0.01 )"	"20.96 ( 0.41 )"	"1.86 ( 0.09 )"	"1.77 ( 0.01 )"	25.1	"0.83"	0.57	20.9	1.86	1.77
1000	500	"0.7"	0.5	0.17	"0.52 ( 0 )"	"18.88 ( 0.46 )"	"1.01 ( 0.08 )"	"1.7 ( 0 )"	23.87	"0.78"	0.52	18.8	1.01	1.7
50	1000	"0.7"	20	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"1.98 ( 0.02 )"	0	"NaN"	0.91	1	6	1.98
100	1000	"0.7"	10	0.01	"0.66 ( 0.02 )"	"49.65 ( 0.71 )"	"4.89 ( 0.09 )"	"1.93 ( 0.01 )"	50.76	"0.98"	0.66	49.6	4.89	1.93
500	1000	"0.7"	2	0.05	"0.6 ( 0.01 )"	"47.23 ( 0.73 )"	"2.18 ( 0.1 )"	"1.88 ( 0.01 )"	51.05	"0.92"	0.6	47.2	2.18	1.88
1000	1000	"0.7"	1	0.08	"0.57 ( 0 )"	"43.91 ( 0.67 )"	"1.1 ( 0.08 )"	"1.82 ( 0 )"	48.81	"0.9"	0.57	43.9	1.1	1.82
50	50	"0.9"	1	0	"1.1 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"1.99 ( 0.02 )"	0	"NaN"	1.1	1	6	1.99
100	50	"0.9"	0.5	0.16	"0.78 ( 0.02 )"	"1.56 ( 0.11 )"	"4.38 ( 0.09 )"	"1.78 ( 0.01 )"	3.16	"0.46"	0.78	1.56	4.38	1.78
500	50	"0.9"	0.1	0.74	"0.44 ( 0 )"	"0.45 ( 0.06 )"	"1.49 ( 0.08 )"	"1.31 ( 0 )"	4.96	"0.08"	0.44	0.45	1.49	1.31
1000	50	"0.9"	0.05	0.86	"0.34 ( 0 )"	"0.14 ( 0.04 )"	"0.86 ( 0.08 )"	"1.17 ( 0 )"	5.28	"0.02"	0.34	0.14	0.86	1.17
50	100	"0.9"	2	0	"1.11 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.06 ( 0.02 )"	0	"NaN"	1.11	1	6	2.06
100	100	"0.9"	1	0.09	"0.84 ( 0.02 )"	"3.94 ( 0.18 )"	"4.32 ( 0.09 )"	"1.95 ( 0.01 )"	5.62	"0.68"	0.84	3.94	4.32	1.95
500	100	"0.9"	0.2	0.55	"0.54 ( 0.01 )"	"2.11 ( 0.15 )"	"1.47 ( 0.08 )"	"1.51 ( 0 )"	6.64	"0.29"	0.54	2.11	1.47	1.51
1000	100	"0.9"	0.1	0.76	"0.44 ( 0 )"	"1.05 ( 0.11 )"	"0.55 ( 0.06 )"	"1.36 ( 0 )"	6.5	"0.14"	0.44	1.05	0.55	1.36
50	500	"0.9"	10	0	"1.18 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.2 ( 0.02 )"	0	"NaN"	1.18	1	6	2.2
100	500	"0.9"	5	0.01	"0.86 ( 0.02 )"	"24.13 ( 0.47 )"	"4.7 ( 0.09 )"	"2.18 ( 0.02 )"	25.43	"0.95"	0.86	24.1	4.7	2.18
500	500	"0.9"	1	0.12	"0.73 ( 0.01 )"	"20.83 ( 0.45 )"	"2.04 ( 0.09 )"	"2 ( 0.01 )"	24.79	"0.84"	0.73	20.8	2.04	2
1000	500	"0.9"	0.5	0.18	"0.68 ( 0.01 )"	"18.47 ( 0.43 )"	"1 ( 0.07 )"	"1.92 ( 0 )"	23.47	"0.78"	0.68	18.4	0	1.92
50	1000	"0.9"	20	0	"1.22 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.3 ( 0.03 )"	0	"NaN"	1.22	1	6	2.3
100	1000	"0.9"	10	0.01	"0.93 ( 0.02 )"	"49.18 ( 0.69 )"	"4.67 ( 0.09 )"	"2.22 ( 0.02 )"	50.51	"0.97"	0.93	49.1	4.67	2.22
500	1000	"0.9"	2	0.06	"0.78 ( 0.01 )"	"46.01 ( 0.7 )"	"2.14 ( 0.09 )"	"2.12 ( 0.01 )"	49.87	"0.92"	0.78	46	2.14	2.12
1000	1000	"0.9"	1	0.08	"0.74 ( 0.01 )"	"43.05 ( 0.72 )"	"1.17 ( 0.08 )"	"2.07 ( 0 )"	47.88	"0.9"	0.74	43	1.17	2.07
